# Gene Family	SampleBacterial_Chemotaxis_Abundance-CPM
UniRef50_UPI00046375AD: hypothetical protein	221.004
UniRef50_UPI00046375AD: hypothetical protein|unclassified	221.004
UniRef50_R9MHY3	220.167
UniRef50_R9MHY3|unclassified	220.167
UniRef50_UPI0003B46257: chemotaxis protein CheD	219.889
UniRef50_UPI0003B46257: chemotaxis protein CheD|unclassified	219.889
UniRef50_I6FBJ8	219.871
UniRef50_I6FBJ8|unclassified	219.871
UniRef50_UPI0004062A69: MULTISPECIES: hypothetical protein	219.406
UniRef50_UPI0004062A69: MULTISPECIES: hypothetical protein|unclassified	219.406
UniRef50_UPI000465A51A: chemotaxis protein, partial	219.402
UniRef50_UPI000465A51A: chemotaxis protein, partial|unclassified	219.402
UniRef50_UPI0004205859: hypothetical protein	219.245
UniRef50_UPI0004205859: hypothetical protein|unclassified	219.245
UniRef50_Z2DPH3	218.775
UniRef50_Z2DPH3|unclassified	218.775
UniRef50_UPI00037EBED1: hypothetical protein	218.539
UniRef50_UPI00037EBED1: hypothetical protein|unclassified	218.539
UniRef50_A0A011PMY1	218.415
UniRef50_A0A011PMY1|unclassified	218.415
UniRef50_Q1AZ05: Periplasmic sugar binding protein-like protein	218.043
UniRef50_Q1AZ05: Periplasmic sugar binding protein-like protein|unclassified	218.043
UniRef50_E2XQB8: Sugar ABC transporter, periplasmic sugar-binding protein	217.856
UniRef50_E2XQB8: Sugar ABC transporter, periplasmic sugar-binding protein|unclassified	217.856
UniRef50_K8B152	217.285
UniRef50_K8B152|unclassified	217.285
UniRef50_UPI00046D2B53: hypothetical protein	217.215
UniRef50_UPI00046D2B53: hypothetical protein|unclassified	217.215
UniRef50_B3EBH7	216.387
UniRef50_B3EBH7|unclassified	216.387
UniRef50_UPI00047E742C: hypothetical protein	215.824
UniRef50_UPI00047E742C: hypothetical protein|unclassified	215.824
UniRef50_UPI0002EBCF84: hypothetical protein	214.844
UniRef50_UPI0002EBCF84: hypothetical protein|unclassified	214.844
UniRef50_C3KNR3: Ribose ABC transporter, ribose-binding protein	214.34
UniRef50_C3KNR3: Ribose ABC transporter, ribose-binding protein|unclassified	214.34
UniRef50_UPI000474A3E0: transcriptional regulator	214.21
UniRef50_UPI000474A3E0: transcriptional regulator|unclassified	214.21
UniRef50_K8DTR1: Methyl-accepting chemotaxis protein I (Serine chemoreceptor protein)	213.804
UniRef50_K8DTR1: Methyl-accepting chemotaxis protein I (Serine chemoreceptor protein)|unclassified	213.804
UniRef50_R4WRD3: Periplasmic binding protein/LacI transcriptional regulator	213.43
UniRef50_R4WRD3: Periplasmic binding protein/LacI transcriptional regulator|unclassified	213.43
UniRef50_UPI00046C9779: hypothetical protein	213.105
UniRef50_UPI00046C9779: hypothetical protein|unclassified	213.105
UniRef50_UPI000381AB21: hypothetical protein, partial	212.709
UniRef50_UPI000381AB21: hypothetical protein, partial|unclassified	212.709
UniRef50_A1SMR4: Chemotaxis response regulator protein-glutamate methylesterase	212.403
UniRef50_A1SMR4: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	212.403
UniRef50_UPI0003B6B82C: chemotaxis protein CheR	212.25
UniRef50_UPI0003B6B82C: chemotaxis protein CheR|unclassified	212.25
UniRef50_UPI000429912E: hypothetical protein	212.032
UniRef50_UPI000429912E: hypothetical protein|unclassified	212.032
UniRef50_UPI0002FCCD3A: hypothetical protein	211.908
UniRef50_UPI0002FCCD3A: hypothetical protein|unclassified	211.908
UniRef50_I5C2T3: Sugar uptake ABC transporter substrate-binding protein	211.788
UniRef50_I5C2T3: Sugar uptake ABC transporter substrate-binding protein|unclassified	211.788
UniRef50_UPI000255A311: chemotaxis protein-glutamate methyltransferase CheR	211.22
UniRef50_UPI000255A311: chemotaxis protein-glutamate methyltransferase CheR|unclassified	211.22
UniRef50_P31759: Protein methyltransferase FrzF	210.991
UniRef50_P31759: Protein methyltransferase FrzF|unclassified	210.991
UniRef50_UPI00036C4633: hypothetical protein	210.875
UniRef50_UPI00036C4633: hypothetical protein|unclassified	210.875
UniRef50_A9BGU0: CheC domain protein	209.458
UniRef50_A9BGU0: CheC domain protein|unclassified	209.458
UniRef50_J4SLB7: Methyl-galactoside ABC transporter galactose-binding periplasmic protein MglB (Fragment)	209.275
UniRef50_J4SLB7: Methyl-galactoside ABC transporter galactose-binding periplasmic protein MglB (Fragment)|unclassified	209.275
UniRef50_UPI0003A977C8: chemotaxis protein CheR	209.18
UniRef50_UPI0003A977C8: chemotaxis protein CheR|unclassified	209.18
UniRef50_UPI00041BFE21: hypothetical protein	208.921
UniRef50_UPI00041BFE21: hypothetical protein|unclassified	208.921
UniRef50_UPI0003B640A2: methyl-accepting chemotaxis protein	208.806
UniRef50_UPI0003B640A2: methyl-accepting chemotaxis protein|unclassified	208.806
UniRef50_A0A011N2F8	208.245
UniRef50_A0A011N2F8|unclassified	208.245
UniRef50_I1WS74: Sugar ABC transporter, periplasmic sugar-binding protein	208.15
UniRef50_I1WS74: Sugar ABC transporter, periplasmic sugar-binding protein|unclassified	208.15
UniRef50_UPI0004720B46: membrane protein	208.032
UniRef50_UPI0004720B46: membrane protein|unclassified	208.032
UniRef50_UPI000345CB32: hypothetical protein	207.778
UniRef50_UPI000345CB32: hypothetical protein|unclassified	207.778
UniRef50_UPI0003638F92: hypothetical protein, partial	207.562
UniRef50_UPI0003638F92: hypothetical protein, partial|unclassified	207.562
UniRef50_A0A038G924: Periplasmic substrate-binding protein	207.353
UniRef50_A0A038G924: Periplasmic substrate-binding protein|unclassified	207.353
UniRef50_UPI00037465BE: hypothetical protein	207.325
UniRef50_UPI00037465BE: hypothetical protein|unclassified	207.325
UniRef50_A0L9J3: Putative chemotaxis protein CheX	207.142
UniRef50_A0L9J3: Putative chemotaxis protein CheX|unclassified	207.142
UniRef50_UPI000478D266: chemotaxis protein CheW	206.239
UniRef50_UPI000478D266: chemotaxis protein CheW|unclassified	206.239
UniRef50_UPI00046931CD: hypothetical protein	205.916
UniRef50_UPI00046931CD: hypothetical protein|unclassified	205.916
UniRef50_UPI0002E05FA7: flagellar motor switch protein G	205.888
UniRef50_UPI0002E05FA7: flagellar motor switch protein G|unclassified	205.888
UniRef50_UPI000263090A: chemoreceptor of MCP family protein, partial	205.551
UniRef50_UPI000263090A: chemoreceptor of MCP family protein, partial|unclassified	205.551
UniRef50_UPI0003770E74: membrane protein	205.358
UniRef50_UPI0003770E74: membrane protein|unclassified	205.358
UniRef50_UPI00016C56C3: chemotaxis protein, partial	205.192
UniRef50_UPI00016C56C3: chemotaxis protein, partial|unclassified	205.192
UniRef50_UPI00047375C6: XRE family transcriptional regulator, partial	205.104
UniRef50_UPI00047375C6: XRE family transcriptional regulator, partial|unclassified	205.104
UniRef50_UPI0003108181: hypothetical protein	204.057
UniRef50_UPI0003108181: hypothetical protein|unclassified	204.057
UniRef50_UPI00035FEB1E: hypothetical protein, partial	203.523
UniRef50_UPI00035FEB1E: hypothetical protein, partial|unclassified	203.523
UniRef50_Q1CWZ9: Chemotaxis response regulator protein-glutamate methylesterase 5	203.182
UniRef50_Q1CWZ9: Chemotaxis response regulator protein-glutamate methylesterase 5|unclassified	203.182
UniRef50_W4SQY2	202.667
UniRef50_W4SQY2|unclassified	202.667
UniRef50_UPI0003B6A016: chemotaxis protein CheR	202.463
UniRef50_UPI0003B6A016: chemotaxis protein CheR|unclassified	202.463
UniRef50_UPI00046322FE: chemotaxis protein	202.426
UniRef50_UPI00046322FE: chemotaxis protein|unclassified	202.426
UniRef50_UPI0003776978: hypothetical protein	201.969
UniRef50_UPI0003776978: hypothetical protein|unclassified	201.969
UniRef50_UPI0001A4329B: methyl-accepting chemotaxis protein, partial	201.919
UniRef50_UPI0001A4329B: methyl-accepting chemotaxis protein, partial|unclassified	201.919
UniRef50_UPI000426582A: hypothetical protein	201.531
UniRef50_UPI000426582A: hypothetical protein|unclassified	201.531
UniRef50_UPI00037589B2: hypothetical protein	201.52
UniRef50_UPI00037589B2: hypothetical protein|unclassified	201.52
UniRef50_UPI0003D30332: chemotaxis response regulator protein-glutamate methylesterase	201.31
UniRef50_UPI0003D30332: chemotaxis response regulator protein-glutamate methylesterase|unclassified	201.31
UniRef50_Q5V0C3: Probable chemoreceptor glutamine deamidase CheD	201.217
UniRef50_Q5V0C3: Probable chemoreceptor glutamine deamidase CheD|unclassified	201.217
UniRef50_UPI0001D2E70F: CheA signal transduction histidine kinase	200.909
UniRef50_UPI0001D2E70F: CheA signal transduction histidine kinase|unclassified	200.909
UniRef50_UPI000470BEBD: hypothetical protein	200.706
UniRef50_UPI000470BEBD: hypothetical protein|unclassified	200.706
UniRef50_W1HHP3: Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	200.189
UniRef50_W1HHP3: Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)|unclassified	200.189
UniRef50_UPI00037CADE2: hypothetical protein	198.579
UniRef50_UPI00037CADE2: hypothetical protein|unclassified	198.579
UniRef50_UPI00016C3868: Chemotaxis signal transduction protein, partial	198.38
UniRef50_UPI00016C3868: Chemotaxis signal transduction protein, partial|unclassified	198.38
UniRef50_H8H0J3: Ribose ABC transporter, periplasmic ribose-binding protein	198.307
UniRef50_H8H0J3: Ribose ABC transporter, periplasmic ribose-binding protein|unclassified	198.307
UniRef50_D6Z4U9: CheC domain protein	197.542
UniRef50_D6Z4U9: CheC domain protein|unclassified	197.542
UniRef50_X1D336: Marine sediment metagenome DNA, contig: S01H4_S15065 (Fragment)	197.4
UniRef50_X1D336: Marine sediment metagenome DNA, contig: S01H4_S15065 (Fragment)|unclassified	197.4
UniRef50_F0B8K8	197.2
UniRef50_F0B8K8|unclassified	197.2
UniRef50_UPI00035F1244: hypothetical protein	196.53
UniRef50_UPI00035F1244: hypothetical protein|unclassified	196.53
UniRef50_Q1D225: Chemotaxis response regulator protein-glutamate methylesterase 2	196.282
UniRef50_Q1D225: Chemotaxis response regulator protein-glutamate methylesterase 2|unclassified	196.282
UniRef50_B9TPW8	194.985
UniRef50_B9TPW8|unclassified	194.985
UniRef50_UPI0002B9D0F1: hypothetical protein	194.883
UniRef50_UPI0002B9D0F1: hypothetical protein|unclassified	194.883
UniRef50_UPI000466D45B: chemotaxis protein CheA, partial	194.782
UniRef50_UPI000466D45B: chemotaxis protein CheA, partial|unclassified	194.782
UniRef50_UPI00034A8BA0: hypothetical protein	194.539
UniRef50_UPI00034A8BA0: hypothetical protein|unclassified	194.539
UniRef50_UPI000262AA47: methyl-accepting chemotaxis protein, partial	194.351
UniRef50_UPI000262AA47: methyl-accepting chemotaxis protein, partial|unclassified	194.351
UniRef50_UPI0002B47A38: PREDICTED: methyl-accepting chemotaxis citrate transducer-like	194.209
UniRef50_UPI0002B47A38: PREDICTED: methyl-accepting chemotaxis citrate transducer-like|unclassified	194.209
UniRef50_UPI000410CB45: chemotaxis protein	193.808
UniRef50_UPI000410CB45: chemotaxis protein|unclassified	193.808
UniRef50_UPI0003690055: hypothetical protein, partial	193.595
UniRef50_UPI0003690055: hypothetical protein, partial|unclassified	193.595
UniRef50_M6GCV4: Chemotaxis protein CheA domain protein	193.337
UniRef50_M6GCV4: Chemotaxis protein CheA domain protein|unclassified	193.337
UniRef50_UPI00035F7F1F: hypothetical protein	193.146
UniRef50_UPI00035F7F1F: hypothetical protein|unclassified	193.146
UniRef50_W8TZ46	193.013
UniRef50_W8TZ46|unclassified	193.013
UniRef50_UPI0002DBD617: hypothetical protein	192.919
UniRef50_UPI0002DBD617: hypothetical protein|unclassified	192.919
UniRef50_UPI0002628B04: CheW protein	192.359
UniRef50_UPI0002628B04: CheW protein|unclassified	192.359
UniRef50_B0R4J5: Chemotaxis protein methyltransferase	191.943
UniRef50_B0R4J5: Chemotaxis protein methyltransferase|unclassified	191.943
UniRef50_UPI00039EE8AE: chemotaxis protein CheA	191.804
UniRef50_UPI00039EE8AE: chemotaxis protein CheA|unclassified	191.804
UniRef50_P62647: Chemotaxis response regulator protein-glutamate methylesterase	191.185
UniRef50_P62647: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	191.185
UniRef50_UPI000468C176: hypothetical protein	190.839
UniRef50_UPI000468C176: hypothetical protein|unclassified	190.839
UniRef50_UPI00029B55C8: chemotaxis transducer	190.225
UniRef50_UPI00029B55C8: chemotaxis transducer|unclassified	190.225
UniRef50_K8DEI0: Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)	190.174
UniRef50_K8DEI0: Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)|unclassified	190.174
UniRef50_D4H5Z3: CheC domain protein	190.155
UniRef50_D4H5Z3: CheC domain protein|unclassified	190.155
UniRef50_UPI0004669BDF: hypothetical protein	190.118
UniRef50_UPI0004669BDF: hypothetical protein|unclassified	190.118
UniRef50_UPI00036ED1B3: hypothetical protein	189.361
UniRef50_UPI00036ED1B3: hypothetical protein|unclassified	189.361
UniRef50_Q167K9: Chemotaxis response regulator protein-glutamate methylesterase	188.501
UniRef50_Q167K9: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	188.501
UniRef50_UPI0004679652: chemotaxis protein	187.679
UniRef50_UPI0004679652: chemotaxis protein|unclassified	187.679
UniRef50_UPI00047E0D42: chemotaxis protein CheD	187.668
UniRef50_UPI00047E0D42: chemotaxis protein CheD|unclassified	187.668
UniRef50_Q6AJV3: Chemotaxis response regulator protein-glutamate methylesterase	187.359
UniRef50_Q6AJV3: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	187.359
UniRef50_UPI00047590CD: hypothetical protein, partial	187.198
UniRef50_UPI00047590CD: hypothetical protein, partial|unclassified	187.198
UniRef50_Q39WQ8: Probable chemoreceptor glutamine deamidase CheD 1	187.082
UniRef50_Q39WQ8: Probable chemoreceptor glutamine deamidase CheD 1|unclassified	187.082
UniRef50_UPI000363A426: hypothetical protein, partial	185.944
UniRef50_UPI000363A426: hypothetical protein, partial|unclassified	185.944
UniRef50_Q21G19: Probable chemoreceptor glutamine deamidase CheD	185.935
UniRef50_Q21G19: Probable chemoreceptor glutamine deamidase CheD|unclassified	185.935
UniRef50_UPI0004693EA9: chemotaxis protein	184.875
UniRef50_UPI0004693EA9: chemotaxis protein|unclassified	184.875
UniRef50_O51069: Chemotaxis protein methyltransferase	184.807
UniRef50_O51069: Chemotaxis protein methyltransferase|unclassified	184.807
UniRef50_E1PNT9: FliY protein (FliY)	184.072
UniRef50_E1PNT9: FliY protein (FliY)|unclassified	184.072
UniRef50_H5VDB6: Flagellar motor switch protein FliM	184.032
UniRef50_H5VDB6: Flagellar motor switch protein FliM|unclassified	184.032
UniRef50_UPI00035F619C: hypothetical protein	183.78
UniRef50_UPI00035F619C: hypothetical protein|unclassified	183.78
UniRef50_Q0AYL3: Chemotaxis response regulator protein-glutamate methylesterase 1	183.522
UniRef50_Q0AYL3: Chemotaxis response regulator protein-glutamate methylesterase 1|unclassified	183.522
UniRef50_Q0ARY3: Chemotaxis response regulator protein-glutamate methylesterase	183.213
UniRef50_Q0ARY3: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	183.213
UniRef50_UPI0002F8D376: hypothetical protein	182.521
UniRef50_UPI0002F8D376: hypothetical protein|unclassified	182.521
UniRef50_UPI0004213A08: chemotaxis protein CheD	180.719
UniRef50_UPI0004213A08: chemotaxis protein CheD|unclassified	180.719
UniRef50_UPI00035E6A52: hypothetical protein	180.685
UniRef50_UPI00035E6A52: hypothetical protein|unclassified	180.685
UniRef50_UPI00039E330F: chemotaxis protein	180.541
UniRef50_UPI00039E330F: chemotaxis protein|unclassified	180.541
UniRef50_UPI0002DC17CA: hypothetical protein	180.298
UniRef50_UPI0002DC17CA: hypothetical protein|unclassified	180.298
UniRef50_UPI0002DBD563: MULTISPECIES: hypothetical protein	179.907
UniRef50_UPI0002DBD563: MULTISPECIES: hypothetical protein|unclassified	179.907
UniRef50_UPI00037ABCA0: hypothetical protein	179.69
UniRef50_UPI00037ABCA0: hypothetical protein|unclassified	179.69
UniRef50_B2TXI0: Flagellar motor switch protein FliM	179.68
UniRef50_B2TXI0: Flagellar motor switch protein FliM|unclassified	179.68
UniRef50_C9LVN1: CheC domain protein	179.498
UniRef50_C9LVN1: CheC domain protein|unclassified	179.498
UniRef50_UPI000255A3A8: methyl-accepting chemotaxis protein	179.483
UniRef50_UPI000255A3A8: methyl-accepting chemotaxis protein|unclassified	179.483
UniRef50_UPI0004771581: chemotaxis protein CheY	179.427
UniRef50_UPI0004771581: chemotaxis protein CheY|unclassified	179.427
UniRef50_UPI00030CB568: hypothetical protein	179.005
UniRef50_UPI00030CB568: hypothetical protein|unclassified	179.005
UniRef50_UPI00036D4CC2: hypothetical protein, partial	178.754
UniRef50_UPI00036D4CC2: hypothetical protein, partial|unclassified	178.754
UniRef50_UPI000365E429: hypothetical protein	177.646
UniRef50_UPI000365E429: hypothetical protein|unclassified	177.646
UniRef50_Q3A5A7: Probable chemoreceptor glutamine deamidase CheD	177.477
UniRef50_Q3A5A7: Probable chemoreceptor glutamine deamidase CheD|unclassified	177.477
UniRef50_UPI000363ADB7: hypothetical protein, partial	177.043
UniRef50_UPI000363ADB7: hypothetical protein, partial|unclassified	177.043
UniRef50_K8B8L0	176.999
UniRef50_K8B8L0|unclassified	176.999
UniRef50_UPI0003F7CBE2: transcriptional regulator	176.373
UniRef50_UPI0003F7CBE2: transcriptional regulator|unclassified	176.373
UniRef50_UPI0003628787: hypothetical protein, partial	175.859
UniRef50_UPI0003628787: hypothetical protein, partial|unclassified	175.859
UniRef50_UPI0002F05439: hypothetical protein	175.714
UniRef50_UPI0002F05439: hypothetical protein|unclassified	175.714
UniRef50_UPI0001BF5D29: hypothetical protein SMAC_11062, partial	175.603
UniRef50_UPI0001BF5D29: hypothetical protein SMAC_11062, partial|unclassified	175.603
UniRef50_UPI00047EA152: flagellar motor switch protein FliM	175.541
UniRef50_UPI00047EA152: flagellar motor switch protein FliM|unclassified	175.541
UniRef50_K8D9W8	175.345
UniRef50_K8D9W8|unclassified	175.345
UniRef50_Q1CZL0: Chemotaxis response regulator protein-glutamate methylesterase 3	175.042
UniRef50_Q1CZL0: Chemotaxis response regulator protein-glutamate methylesterase 3|unclassified	175.042
UniRef50_UPI000016611E: flagellar motor switch protein FliY, partial	174.731
UniRef50_UPI000016611E: flagellar motor switch protein FliY, partial|unclassified	174.731
UniRef50_UPI0003701A20: hypothetical protein	174.224
UniRef50_UPI0003701A20: hypothetical protein|unclassified	174.224
UniRef50_R9NP45: Methyl-accepting chemotaxis sensory transducer	173.633
UniRef50_R9NP45: Methyl-accepting chemotaxis sensory transducer|unclassified	173.633
UniRef50_N6V2K5	173.14
UniRef50_N6V2K5|unclassified	173.14
UniRef50_UPI0004737C13: membrane protein, partial	172.918
UniRef50_UPI0004737C13: membrane protein, partial|unclassified	172.918
UniRef50_Q47GY0: Probable chemoreceptor glutamine deamidase CheD 2	172.674
UniRef50_Q47GY0: Probable chemoreceptor glutamine deamidase CheD 2|unclassified	172.674
UniRef50_UPI0001E2D100: methyl-accepting chemotaxis protein	172.429
UniRef50_UPI0001E2D100: methyl-accepting chemotaxis protein|unclassified	172.429
UniRef50_A9BZG8: Periplasmic binding protein/LacI transcriptional regulator	172.038
UniRef50_A9BZG8: Periplasmic binding protein/LacI transcriptional regulator|unclassified	172.038
UniRef50_UPI0003669883: hypothetical protein	171.972
UniRef50_UPI0003669883: hypothetical protein|unclassified	171.972
UniRef50_UPI000477A941: hypothetical protein	171.799
UniRef50_UPI000477A941: hypothetical protein|unclassified	171.799
UniRef50_UPI0003B3A9C7: methyl-accepting chemotaxis protein, partial	170.718
UniRef50_UPI0003B3A9C7: methyl-accepting chemotaxis protein, partial|unclassified	170.718
UniRef50_UPI000464EDB0: chemotaxis protein, partial	169.731
UniRef50_UPI000464EDB0: chemotaxis protein, partial|unclassified	169.731
UniRef50_H2J4N4: Putative inhibitor of MCP methylation, CheC	169.665
UniRef50_H2J4N4: Putative inhibitor of MCP methylation, CheC|unclassified	169.665
UniRef50_UPI00036C747F: hypothetical protein	168.784
UniRef50_UPI00036C747F: hypothetical protein|unclassified	168.784
UniRef50_UPI00047C394E: flagellar motor switch protein FliY	168.728
UniRef50_UPI00047C394E: flagellar motor switch protein FliY|unclassified	168.728
UniRef50_UPI000381CB1D: hypothetical protein	168.454
UniRef50_UPI000381CB1D: hypothetical protein|unclassified	168.454
UniRef50_Q2RZD2: Chemotaxis response regulator protein-glutamate methylesterase	167.918
UniRef50_Q2RZD2: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	167.918
UniRef50_K1BLM9: Chemotaxis transducer (Fragment)	167.912
UniRef50_K1BLM9: Chemotaxis transducer (Fragment)|unclassified	167.912
UniRef50_UPI00035F849F: hypothetical protein	167.078
UniRef50_UPI00035F849F: hypothetical protein|unclassified	167.078
UniRef50_A6TJW2: CheC domain protein	166.622
UniRef50_A6TJW2: CheC domain protein|unclassified	166.622
UniRef50_A1AQ21	166.58
UniRef50_A1AQ21|unclassified	166.58
UniRef50_UPI000471E172: hypothetical protein, partial	165.686
UniRef50_UPI000471E172: hypothetical protein, partial|unclassified	165.686
UniRef50_T0EL43	165.178
UniRef50_T0EL43|unclassified	165.178
UniRef50_P31758: Protein-glutamate methylesterase FrzG	164.943
UniRef50_P31758: Protein-glutamate methylesterase FrzG|unclassified	164.943
UniRef50_UPI0003F8BCB3: hypothetical protein	164.828
UniRef50_UPI0003F8BCB3: hypothetical protein|unclassified	164.828
UniRef50_UPI000255BE2A: flagellar motor switch protein, partial	164.815
UniRef50_UPI000255BE2A: flagellar motor switch protein, partial|unclassified	164.815
UniRef50_UPI000225BFD2: flagellar motor switch protein FliM	164.496
UniRef50_UPI000225BFD2: flagellar motor switch protein FliM|unclassified	164.496
UniRef50_Q5NRF0: Probable chemoreceptor glutamine deamidase CheD	163.951
UniRef50_Q5NRF0: Probable chemoreceptor glutamine deamidase CheD|unclassified	163.951
UniRef50_UPI000429279A: histidine kinase	163.794
UniRef50_UPI000429279A: histidine kinase|unclassified	163.794
UniRef50_UPI0002E28632: hypothetical protein	162.945
UniRef50_UPI0002E28632: hypothetical protein|unclassified	162.945
UniRef50_W4T0G5	162.871
UniRef50_W4T0G5|unclassified	162.871
UniRef50_P72253: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon	162.837
UniRef50_P72253: Chemotaxis response regulator protein-glutamate methylesterase of group 2 operon|unclassified	162.837
UniRef50_UPI00016C4C28: methyl-accepting chemotaxis protein	162.382
UniRef50_UPI00016C4C28: methyl-accepting chemotaxis protein|unclassified	162.382
UniRef50_UPI00042546D4: chemotaxis protein CheY	162.148
UniRef50_UPI00042546D4: chemotaxis protein CheY|unclassified	162.148
UniRef50_UPI0002915673: histidine kinase, HAMP region: chemotaxis sensory transducer	161.502
UniRef50_UPI0002915673: histidine kinase, HAMP region: chemotaxis sensory transducer|unclassified	161.502
UniRef50_K4KGR5: CheC-like protein	160.81
UniRef50_K4KGR5: CheC-like protein|unclassified	160.81
UniRef50_A9KIC8: Periplasmic binding protein/LacI transcriptional regulator	160.123
UniRef50_A9KIC8: Periplasmic binding protein/LacI transcriptional regulator|unclassified	160.123
UniRef50_UPI000374867B: hypothetical protein	159.99
UniRef50_UPI000374867B: hypothetical protein|unclassified	159.99
UniRef50_UPI0003693CC8: hypothetical protein	159.901
UniRef50_UPI0003693CC8: hypothetical protein|unclassified	159.901
UniRef50_Q92YM4: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon	159.865
UniRef50_Q92YM4: Chemotaxis response regulator protein-glutamate methylesterase of group 3 operon|unclassified	159.865
UniRef50_F3CGP6: Response regulator/TPR domain-containing protein (Fragment)	159.812
UniRef50_F3CGP6: Response regulator/TPR domain-containing protein (Fragment)|unclassified	159.812
UniRef50_UPI0004675B13: membrane protein	159.29
UniRef50_UPI0004675B13: membrane protein|unclassified	159.29
UniRef50_UPI00016A507A: methyl-accepting chemotaxis sensory transducer, partial	159.148
UniRef50_UPI00016A507A: methyl-accepting chemotaxis sensory transducer, partial|unclassified	159.148
UniRef50_A0A058TF07: Periplasmic binding protein/LacI transcriptionalregulator	158.563
UniRef50_A0A058TF07: Periplasmic binding protein/LacI transcriptionalregulator|unclassified	158.563
UniRef50_UPI00047D244C: histidine kinase	158.215
UniRef50_UPI00047D244C: histidine kinase|unclassified	158.215
UniRef50_UPI0001BF5D4F: hypothetical protein SMAC_10960, partial	157.575
UniRef50_UPI0001BF5D4F: hypothetical protein SMAC_10960, partial|unclassified	157.575
UniRef50_W1HJC6: Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	157.49
UniRef50_W1HJC6: Ribose ABC transporter, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)|unclassified	157.49
UniRef50_UPI0004112C05: chemotaxis protein CheY	157.378
UniRef50_UPI0004112C05: chemotaxis protein CheY|unclassified	157.378
UniRef50_UPI000377BDA0: hypothetical protein	156.688
UniRef50_UPI000377BDA0: hypothetical protein|unclassified	156.688
UniRef50_UPI00047593CD: hypothetical protein	156.042
UniRef50_UPI00047593CD: hypothetical protein|unclassified	156.042
UniRef50_UPI0003B557CA: chemotaxis protein	155.314
UniRef50_UPI0003B557CA: chemotaxis protein|unclassified	155.314
UniRef50_UPI000408B432: chemotaxis protein CheY	155.284
UniRef50_UPI000408B432: chemotaxis protein CheY|unclassified	155.284
UniRef50_C4XKZ1: Chemotaxis protein CheX	154.895
UniRef50_C4XKZ1: Chemotaxis protein CheX|unclassified	154.895
UniRef50_A1WGA7: Periplasmic binding protein/LacI transcriptional regulator	153.801
UniRef50_A1WGA7: Periplasmic binding protein/LacI transcriptional regulator|unclassified	153.801
UniRef50_V7FC33	153.768
UniRef50_V7FC33|unclassified	153.768
UniRef50_D5U4Z6: Galactose/glucose-binding protein	153.76
UniRef50_D5U4Z6: Galactose/glucose-binding protein|unclassified	153.76
UniRef50_UPI0003B49F98: flagellar motor switch protein FliM, partial	153.216
UniRef50_UPI0003B49F98: flagellar motor switch protein FliM, partial|unclassified	153.216
UniRef50_UPI000225AF4C: protein-glutamate O-methyltransferase	151.938
UniRef50_UPI000225AF4C: protein-glutamate O-methyltransferase|unclassified	151.938
UniRef50_Q2IEE3	151.674
UniRef50_Q2IEE3|unclassified	151.674
UniRef50_UPI000466B8E8: hypothetical protein	151.673
UniRef50_UPI000466B8E8: hypothetical protein|unclassified	151.673
UniRef50_Q2W2W9: Chemotaxis response regulator protein-glutamate methylesterase 3	151.209
UniRef50_Q2W2W9: Chemotaxis response regulator protein-glutamate methylesterase 3|unclassified	151.209
UniRef50_D9ULZ5: Sugar ABC transporter substrate-binding protein	151.179
UniRef50_D9ULZ5: Sugar ABC transporter substrate-binding protein|unclassified	151.179
UniRef50_UPI0002D2D74D: hypothetical protein	150.137
UniRef50_UPI0002D2D74D: hypothetical protein|unclassified	150.137
UniRef50_Q47GX8: Probable chemoreceptor glutamine deamidase CheD 3	149.898
UniRef50_Q47GX8: Probable chemoreceptor glutamine deamidase CheD 3|unclassified	149.898
UniRef50_Q2RKH8: Chemotaxis response regulator protein-glutamate methylesterase	149.803
UniRef50_Q2RKH8: Chemotaxis response regulator protein-glutamate methylesterase|unclassified	149.803
UniRef50_UPI000462D062: chemotaxis protein, partial	149.731
UniRef50_UPI000462D062: chemotaxis protein, partial|unclassified	149.731
UniRef50_UPI0003B6662F: hypothetical protein, partial	149.532
UniRef50_UPI0003B6662F: hypothetical protein, partial|unclassified	149.532
UniRef50_B4UMQ1: Cache type 2 domain protein	149.441
UniRef50_B4UMQ1: Cache type 2 domain protein|unclassified	149.441
UniRef50_UPI0004673C4E: hypothetical protein	149.335
UniRef50_UPI0004673C4E: hypothetical protein|unclassified	149.335
