# Gene Family	SampleArginine_Biosynthesis_extended_Abundance-CPM
UniRef50_UPI000289F77E: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	1423.35
UniRef50_UPI0004743212: argininosuccinate synthase, partial	1417.33
UniRef50_UPI0004743212: argininosuccinate synthase, partial|unclassified	1417.33
UniRef50_Q8KA25: Succinyl-diaminopimelate desuccinylase	1415.67
UniRef50_Q8KA25: Succinyl-diaminopimelate desuccinylase|unclassified	1415.67
UniRef50_Q97GH9: Acetylornithine aminotransferase	1396.95
UniRef50_Q97GH9: Acetylornithine aminotransferase|unclassified	1396.95
UniRef50_Q4FRK9: N-acetyl-gamma-glutamyl-phosphate reductase	1396.72
UniRef50_Q4FRK9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1396.72
UniRef50_A1BG31: Argininosuccinate lyase	1395.01
UniRef50_A1BG31: Argininosuccinate lyase|unclassified	1395.01
UniRef50_A0LUC3: Acetylglutamate kinase	1393.38
UniRef50_A0LUC3: Acetylglutamate kinase|unclassified	1393.38
UniRef50_O27322: Argininosuccinate synthase	1384.54
UniRef50_O27322: Argininosuccinate synthase|unclassified	1384.54
UniRef50_Q0C4M2: Ornithine carbamoyltransferase	1384.45
UniRef50_Q0C4M2: Ornithine carbamoyltransferase|unclassified	1384.45
UniRef50_B8HGC5: Acetylglutamate kinase	1378.94
UniRef50_B8HGC5: Acetylglutamate kinase|unclassified	1378.94
UniRef50_Q7VFF8: Argininosuccinate lyase	1376.82
UniRef50_Q7VFF8: Argininosuccinate lyase|unclassified	1376.82
UniRef50_UPI00046FFC89: N-acetylglutamate synthase	1374.17
UniRef50_UPI00046FFC89: N-acetylglutamate synthase|unclassified	1374.17
UniRef50_UPI000473DE2A: argininosuccinate lyase, partial	1371.33
UniRef50_UPI000473DE2A: argininosuccinate lyase, partial|unclassified	1371.33
UniRef50_UPI000473C8FF: hypothetical protein, partial	1369.5
UniRef50_UPI000473C8FF: hypothetical protein, partial|unclassified	1369.5
UniRef50_A3DL27: Ornithine carbamoyltransferase	1365.52
UniRef50_A3DL27: Ornithine carbamoyltransferase|unclassified	1365.52
UniRef50_Q828A3: Acetylornithine aminotransferase	1364.75
UniRef50_Q828A3: Acetylornithine aminotransferase|unclassified	1364.75
UniRef50_P62061: Arginine biosynthesis bifunctional protein ArgJ	1356.19
UniRef50_P62061: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1356.19
UniRef50_A1B0E7: Acetylglutamate kinase	1351.07
UniRef50_A1B0E7: Acetylglutamate kinase|unclassified	1351.07
UniRef50_Q9CC12: Acetylornithine aminotransferase	1342.87
UniRef50_Q9CC12: Acetylornithine aminotransferase|unclassified	1342.87
UniRef50_UPI00046CC059: acetylornithine aminotransferase	1342.01
UniRef50_UPI00046CC059: acetylornithine aminotransferase|unclassified	1342.01
UniRef50_Q9JW21: Amino-acid acetyltransferase	1340.48
UniRef50_Q9JW21: Amino-acid acetyltransferase|unclassified	1340.48
UniRef50_Q2RRM4: N-acetyl-gamma-glutamyl-phosphate reductase	1335.12
UniRef50_Q2RRM4: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1335.12
UniRef50_UPI0003B56EAA: N-acetyltransferase GCN5	1334.73
UniRef50_UPI0003B56EAA: N-acetyltransferase GCN5|unclassified	1334.73
UniRef50_O08319: Arginine biosynthesis bifunctional protein ArgJ	1333.33
UniRef50_O08319: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1333.33
UniRef50_Q71Z76: N-acetyl-gamma-glutamyl-phosphate reductase	1331.31
UniRef50_Q71Z76: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1331.31
UniRef50_UPI00036EE739: acetylornithine aminotransferase, partial	1329.76
UniRef50_UPI00036EE739: acetylornithine aminotransferase, partial|unclassified	1329.76
UniRef50_Q8CUM9: Acetylornithine aminotransferase	1328.31
UniRef50_Q8CUM9: Acetylornithine aminotransferase|unclassified	1328.31
UniRef50_UPI0001BCEE1D: peptide transporter	1313.79
UniRef50_UPI0001BCEE1D: peptide transporter|unclassified	1313.79
UniRef50_Q5QX02: N-acetyl-gamma-glutamyl-phosphate reductase	1310.43
UniRef50_Q5QX02: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1310.43
UniRef50_V4QZ53	1305.57
UniRef50_V4QZ53|unclassified	1305.57
UniRef50_UPI0003B46AF6: succinyl-diaminopimelate desuccinylase, partial	1305.26
UniRef50_UPI0003B46AF6: succinyl-diaminopimelate desuccinylase, partial|unclassified	1305.26
UniRef50_UPI0003A6F8C4: hypothetical protein	1300.52
UniRef50_UPI0003A6F8C4: hypothetical protein|unclassified	1300.52
UniRef50_UPI00044199D7: PREDICTED: acetylglutamate kinase, chloroplastic-like	1299.26
UniRef50_UPI00044199D7: PREDICTED: acetylglutamate kinase, chloroplastic-like|unclassified	1299.26
UniRef50_A0RUE9: Ornithine carbamoyltransferase	1294.32
UniRef50_A0RUE9: Ornithine carbamoyltransferase|unclassified	1294.32
UniRef50_UPI00023756D4: N-acetyl-gamma-glutamyl-phosphate reductase, partial	1282.28
UniRef50_UPI00023756D4: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	1282.28
UniRef50_UPI0002556085: N-acetylglutamate synthase	1280.61
UniRef50_UPI0002556085: N-acetylglutamate synthase|unclassified	1280.61
UniRef50_UPI0002E88C65: acetylornithine aminotransferase	1279.82
UniRef50_UPI0002E88C65: acetylornithine aminotransferase|unclassified	1279.82
UniRef50_UPI00029AE890: succinyl-diaminopimelate desuccinylase	1263.54
UniRef50_UPI00029AE890: succinyl-diaminopimelate desuccinylase|unclassified	1263.54
UniRef50_A7H771: Argininosuccinate lyase	1262.2
UniRef50_A7H771: Argininosuccinate lyase|unclassified	1262.2
UniRef50_Q8PK25: N-acetylornithine carbamoyltransferase	1249.68
UniRef50_Q8PK25: N-acetylornithine carbamoyltransferase|unclassified	1249.68
UniRef50_Q882K8: Acetylornithine aminotransferase 2	1248.97
UniRef50_Q882K8: Acetylornithine aminotransferase 2|unclassified	1248.97
UniRef50_UPI0003B4FDE9: N-acetylglutamate synthase	1241.69
UniRef50_UPI0003B4FDE9: N-acetylglutamate synthase|unclassified	1241.69
UniRef50_Q3ASI6: Arginine biosynthesis bifunctional protein ArgJ	1237.16
UniRef50_Q3ASI6: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1237.16
UniRef50_Q3Z731: Arginine biosynthesis bifunctional protein ArgJ	1233.43
UniRef50_Q3Z731: Arginine biosynthesis bifunctional protein ArgJ|unclassified	1233.43
UniRef50_UPI0002D44581: hypothetical protein	1221.93
UniRef50_UPI0002D44581: hypothetical protein|unclassified	1221.93
UniRef50_A3DGK6: Acetylglutamate kinase	1207.16
UniRef50_A3DGK6: Acetylglutamate kinase|unclassified	1207.16
UniRef50_Q7VAW6: Ornithine carbamoyltransferase	1205.78
UniRef50_Q7VAW6: Ornithine carbamoyltransferase|unclassified	1205.78
UniRef50_P75473: Ornithine carbamoyltransferase, catabolic	1203.51
UniRef50_P75473: Ornithine carbamoyltransferase, catabolic|unclassified	1203.51
UniRef50_UPI0002557ACB: N-acetylglutamate synthase	1196.36
UniRef50_UPI0002557ACB: N-acetylglutamate synthase|unclassified	1196.36
UniRef50_Q9ZJ10: Acetylornithine aminotransferase (Fragment)	1194.21
UniRef50_Q9ZJ10: Acetylornithine aminotransferase (Fragment)|unclassified	1194.21
UniRef50_B9JVB9: N-acetyl-gamma-glutamyl-phosphate reductase	1193.86
UniRef50_B9JVB9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1193.86
UniRef50_Q3YS21: Acetylglutamate kinase	1186.63
UniRef50_Q3YS21: Acetylglutamate kinase|unclassified	1186.63
UniRef50_UPI000474C292: hypothetical protein	1184.53
UniRef50_UPI000474C292: hypothetical protein|unclassified	1184.53
UniRef50_C4Z4C2: N-acetyl-gamma-glutamyl-phosphate reductase	1179.61
UniRef50_C4Z4C2: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1179.61
UniRef50_Q0BUB7: Succinyl-diaminopimelate desuccinylase	1176.65
UniRef50_Q0BUB7: Succinyl-diaminopimelate desuccinylase|unclassified	1176.65
UniRef50_Q7VHJ0: Ornithine carbamoyltransferase	1174.01
UniRef50_Q7VHJ0: Ornithine carbamoyltransferase|unclassified	1174.01
UniRef50_A0AJ40: N-acetyl-gamma-glutamyl-phosphate reductase	1173
UniRef50_A0AJ40: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1173
UniRef50_UPI0003B64C9D: N-acetylglutamate synthase, partial	1163.24
UniRef50_UPI0003B64C9D: N-acetylglutamate synthase, partial|unclassified	1163.24
UniRef50_UPI0004776DDA: argininosuccinate lyase	1161.19
UniRef50_UPI0004776DDA: argininosuccinate lyase|unclassified	1161.19
UniRef50_A0L3N2: Succinyl-diaminopimelate desuccinylase	1160.46
UniRef50_A0L3N2: Succinyl-diaminopimelate desuccinylase|unclassified	1160.46
UniRef50_Q7VAS9: Acetylornithine aminotransferase	1157.18
UniRef50_Q7VAS9: Acetylornithine aminotransferase|unclassified	1157.18
UniRef50_UPI00036F52C0: acetylornithine aminotransferase	1154.92
UniRef50_UPI00036F52C0: acetylornithine aminotransferase|unclassified	1154.92
UniRef50_C0Z6T1: N-acetyl-gamma-glutamyl-phosphate reductase	1148.97
UniRef50_C0Z6T1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1148.97
UniRef50_Q4A0N2: Ornithine aminotransferase 1	1134.23
UniRef50_Q4A0N2: Ornithine aminotransferase 1|unclassified	1134.23
UniRef50_UPI00037FA636: hypothetical protein, partial	1130.25
UniRef50_UPI00037FA636: hypothetical protein, partial|unclassified	1130.25
UniRef50_R5UT50	1120.33
UniRef50_R5UT50|unclassified	1120.33
UniRef50_UPI0003D3D821: hypothetical protein, partial	1112.56
UniRef50_UPI0003D3D821: hypothetical protein, partial|unclassified	1112.56
UniRef50_Q3KCB2: Argininosuccinate lyase 1	1111.83
UniRef50_Q3KCB2: Argininosuccinate lyase 1|unclassified	1111.83
UniRef50_Q9PIR7: Acetylornithine aminotransferase	1111.55
UniRef50_Q9PIR7: Acetylornithine aminotransferase|unclassified	1111.55
UniRef50_A9KHN3: Acetylglutamate kinase	1106.38
UniRef50_A9KHN3: Acetylglutamate kinase|unclassified	1106.38
UniRef50_B7R643	1100.56
UniRef50_B7R643|unclassified	1100.56
UniRef50_Q7VMS5: Acetylornithine aminotransferase	1092.94
UniRef50_Q7VMS5: Acetylornithine aminotransferase|unclassified	1092.94
UniRef50_U1XY72	1092.42
UniRef50_U1XY72|unclassified	1092.42
UniRef50_UPI00036B99A9: hypothetical protein	1089.77
UniRef50_UPI00036B99A9: hypothetical protein|unclassified	1089.77
UniRef50_Q75FU1: Acetylglutamate kinase	1088.33
UniRef50_Q75FU1: Acetylglutamate kinase|unclassified	1088.33
UniRef50_UPI000379ABE9: hypothetical protein	1084.36
UniRef50_UPI000379ABE9: hypothetical protein|unclassified	1084.36
UniRef50_A9KMB5: Arginine repressor	1080.58
UniRef50_A9KMB5: Arginine repressor|unclassified	1080.58
UniRef50_F2AEE8	1079.53
UniRef50_F2AEE8|unclassified	1079.53
UniRef50_UPI000474A004: acetylornithine carbamoyltransferase, partial	1072.61
UniRef50_UPI000474A004: acetylornithine carbamoyltransferase, partial|unclassified	1072.61
UniRef50_Q6L135: Ornithine carbamoyltransferase	1066.11
UniRef50_Q6L135: Ornithine carbamoyltransferase|unclassified	1066.11
UniRef50_Q9LEU8: Argininosuccinate lyase, chloroplastic	1063.82
UniRef50_Q9LEU8: Argininosuccinate lyase, chloroplastic|unclassified	1063.82
UniRef50_Q8UG00: N-acetyl-gamma-glutamyl-phosphate reductase	1063.68
UniRef50_Q8UG00: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1063.68
UniRef50_UPI0004659DEB: acetylornithine aminotransferase, partial	1060.17
UniRef50_UPI0004659DEB: acetylornithine aminotransferase, partial|unclassified	1060.17
UniRef50_Q97C32: Ornithine carbamoyltransferase, catabolic	1059.65
UniRef50_Q97C32: Ornithine carbamoyltransferase, catabolic|unclassified	1059.65
UniRef50_A5FEC6: N-acetyl-gamma-glutamyl-phosphate reductase	1058.23
UniRef50_A5FEC6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1058.23
UniRef50_UPI000050FBC4: acetylornithine deacetylase	1057.42
UniRef50_UPI000050FBC4: acetylornithine deacetylase|unclassified	1057.42
UniRef50_Q5LIQ2: Acetylglutamate kinase	1053.56
UniRef50_Q5LIQ2: Acetylglutamate kinase|unclassified	1053.56
UniRef50_A0A028FB63	1051.24
UniRef50_A0A028FB63|unclassified	1051.24
UniRef50_Q7MAE6: Acetylornithine aminotransferase	1048.82
UniRef50_Q7MAE6: Acetylornithine aminotransferase|unclassified	1048.82
UniRef50_UPI00047396CA: hypothetical protein, partial	1047.17
UniRef50_UPI00047396CA: hypothetical protein, partial|unclassified	1047.17
UniRef50_Q1IXY5: N-acetyl-gamma-glutamyl-phosphate reductase	1041.73
UniRef50_Q1IXY5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1041.73
UniRef50_UPI0003C138DF: PREDICTED: probable carboxypeptidase ATEG_02905-like	1037.98
UniRef50_UPI0003C138DF: PREDICTED: probable carboxypeptidase ATEG_02905-like|unclassified	1037.98
UniRef50_B2A8E3: Argininosuccinate lyase	1034.54
UniRef50_B2A8E3: Argininosuccinate lyase|unclassified	1034.54
UniRef50_UPI00036A3350: hypothetical protein, partial	1026.52
UniRef50_UPI00036A3350: hypothetical protein, partial|unclassified	1026.52
UniRef50_UPI000375690E: hypothetical protein, partial	1026.01
UniRef50_UPI000375690E: hypothetical protein, partial|unclassified	1026.01
UniRef50_A5CVH0: N-acetyl-gamma-glutamyl-phosphate reductase	1022.8
UniRef50_A5CVH0: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1022.8
UniRef50_Q058B2: Succinyl-diaminopimelate desuccinylase	1014.35
UniRef50_Q058B2: Succinyl-diaminopimelate desuccinylase|unclassified	1014.35
UniRef50_UPI0002FEFEE4: hypothetical protein	1009.84
UniRef50_UPI0002FEFEE4: hypothetical protein|unclassified	1009.84
UniRef50_B2I7K9: N-acetyl-gamma-glutamyl-phosphate reductase	1004.96
UniRef50_B2I7K9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	1004.96
UniRef50_Q2J862: Acetylglutamate kinase	997.349
UniRef50_Q2J862: Acetylglutamate kinase|unclassified	997.349
UniRef50_Q9SCL7: Acetylglutamate kinase, chloroplastic	997.157
UniRef50_Q9SCL7: Acetylglutamate kinase, chloroplastic|unclassified	997.157
UniRef50_A9WQ89: Arginine repressor	995.363
UniRef50_A9WQ89: Arginine repressor|unclassified	995.363
UniRef50_Q1GMM6: Succinyl-diaminopimelate desuccinylase 2	992.266
UniRef50_Q1GMM6: Succinyl-diaminopimelate desuccinylase 2|unclassified	992.266
UniRef50_P68746: Ornithine carbamoyltransferase 2, phaseolotoxin-insensitive	990.804
UniRef50_P68746: Ornithine carbamoyltransferase 2, phaseolotoxin-insensitive|unclassified	990.804
UniRef50_Q6NHG6: Ornithine carbamoyltransferase	989.223
UniRef50_Q6NHG6: Ornithine carbamoyltransferase|unclassified	989.223
UniRef50_UPI0004638343: hypothetical protein, partial	979.992
UniRef50_UPI0004638343: hypothetical protein, partial|unclassified	979.992
UniRef50_Q28PV9: N-acetyl-gamma-glutamyl-phosphate reductase	977.473
UniRef50_Q28PV9: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	977.473
UniRef50_UPI0002885961: argininosuccinate lyase	976.131
UniRef50_UPI0002885961: argininosuccinate lyase|unclassified	976.131
UniRef50_Q8KDE2: Ornithine carbamoyltransferase	975.532
UniRef50_Q8KDE2: Ornithine carbamoyltransferase|unclassified	975.532
UniRef50_UPI000472FECA: hypothetical protein, partial	973.036
UniRef50_UPI000472FECA: hypothetical protein, partial|unclassified	973.036
UniRef50_UPI000479DD3D: acetylornithine deacetylase	968.518
UniRef50_UPI000479DD3D: acetylornithine deacetylase|unclassified	968.518
UniRef50_Q5ZJ23: Argininosuccinate synthase	966.486
UniRef50_Q5ZJ23: Argininosuccinate synthase|unclassified	966.486
UniRef50_P16460: Argininosuccinate synthase	945.203
UniRef50_P16460: Argininosuccinate synthase|unclassified	945.203
UniRef50_UPI0003B722EC: MULTISPECIES: argininosuccinate synthase	943.607
UniRef50_UPI0003B722EC: MULTISPECIES: argininosuccinate synthase|unclassified	943.607
UniRef50_Q93R93: Acetylornithine/acetyl-lysine aminotransferase	939.471
UniRef50_Q93R93: Acetylornithine/acetyl-lysine aminotransferase|unclassified	939.471
UniRef50_P00966: Argininosuccinate synthase	931.857
UniRef50_P00966: Argininosuccinate synthase|unclassified	931.857
UniRef50_UPI000379EDC0: hypothetical protein	930.867
UniRef50_UPI000379EDC0: hypothetical protein|unclassified	930.867
UniRef50_Q9UX31: Argininosuccinate synthase	924.826
UniRef50_Q9UX31: Argininosuccinate synthase|unclassified	924.826
UniRef50_R5VLJ1	924.21
UniRef50_R5VLJ1|unclassified	924.21
UniRef50_H1D5T7	918.291
UniRef50_H1D5T7|unclassified	918.291
UniRef50_UPI0002379F46: arginine repressor (partial match)	915.183
UniRef50_UPI0002379F46: arginine repressor (partial match)|unclassified	915.183
UniRef50_B2UML6: Ornithine carbamoyltransferase	908.494
UniRef50_B2UML6: Ornithine carbamoyltransferase|unclassified	908.494
UniRef50_F3CCZ9: Acetylornithine deacetylase (Fragment)	907.541
UniRef50_F3CCZ9: Acetylornithine deacetylase (Fragment)|unclassified	907.541
UniRef50_Q7UFW4: Argininosuccinate synthase	903.842
UniRef50_Q7UFW4: Argininosuccinate synthase|unclassified	903.842
UniRef50_B0TCA6: N-acetyl-gamma-glutamyl-phosphate reductase	899.709
UniRef50_B0TCA6: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	899.709
UniRef50_UPI0002E47F4B: carboxylate-amine ligase	895.458
UniRef50_UPI0002E47F4B: carboxylate-amine ligase|unclassified	895.458
UniRef50_T1BC72: Acetylornithine deacetylase (Fragment)	890.487
UniRef50_T1BC72: Acetylornithine deacetylase (Fragment)|unclassified	890.487
UniRef50_P62060: Arginine biosynthesis bifunctional protein ArgJ	884.637
UniRef50_P62060: Arginine biosynthesis bifunctional protein ArgJ|unclassified	884.637
UniRef50_UPI000289ECC0: N-acetyl-gamma-glutamyl-phosphate reductase, partial	878.699
UniRef50_UPI000289ECC0: N-acetyl-gamma-glutamyl-phosphate reductase, partial|unclassified	878.699
UniRef50_UPI00019133E3: bifunctional succinylornithine transaminase/acetylornithine transaminase, partial	869.876
UniRef50_UPI00019133E3: bifunctional succinylornithine transaminase/acetylornithine transaminase, partial|unclassified	869.876
UniRef50_A0L482: N-acetyl-gamma-glutamyl-phosphate reductase	867.412
UniRef50_A0L482: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	867.412
UniRef50_Q63U95: Argininosuccinate synthase	864.615
UniRef50_Q63U95: Argininosuccinate synthase|unclassified	864.615
UniRef50_A3DGK5: N-acetyl-gamma-glutamyl-phosphate reductase	856.701
UniRef50_A3DGK5: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	856.701
UniRef50_UPI00038198C2: hypothetical protein, partial	853.344
UniRef50_UPI00038198C2: hypothetical protein, partial|unclassified	853.344
UniRef50_Q7V436: Arginine biosynthesis bifunctional protein ArgJ	850.129
UniRef50_Q7V436: Arginine biosynthesis bifunctional protein ArgJ|unclassified	850.129
UniRef50_J9GJ23: Acetylornithine deacetylase	846.166
UniRef50_J9GJ23: Acetylornithine deacetylase|unclassified	846.166
UniRef50_I9LUR7: Aspartate/ornithine carbamoyltransferase Asp/Orn-binding region (Fragment)	845.139
UniRef50_I9LUR7: Aspartate/ornithine carbamoyltransferase Asp/Orn-binding region (Fragment)|unclassified	845.139
UniRef50_Q8FTN0: Arginine repressor	840.111
UniRef50_Q8FTN0: Arginine repressor|unclassified	840.111
UniRef50_UPI0002FF7DC2: hypothetical protein	839.888
UniRef50_UPI0002FF7DC2: hypothetical protein|unclassified	839.888
UniRef50_UPI0003B73BF6: acetylornithine deacetylase	836.273
UniRef50_UPI0003B73BF6: acetylornithine deacetylase|unclassified	836.273
UniRef50_A0Q1F0: N-acetyl-gamma-glutamyl-phosphate reductase	833.848
UniRef50_A0Q1F0: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	833.848
UniRef50_Q8PK26: Argininosuccinate synthase	832.095
UniRef50_Q8PK26: Argininosuccinate synthase|unclassified	832.095
UniRef50_A6UNM1: Ornithine carbamoyltransferase	827.243
UniRef50_A6UNM1: Ornithine carbamoyltransferase|unclassified	827.243
UniRef50_W6JSY3	826.822
UniRef50_W6JSY3|unclassified	826.822
UniRef50_P96134: Ornithine carbamoyltransferase	826.031
UniRef50_P96134: Ornithine carbamoyltransferase|unclassified	826.031
UniRef50_UPI000463F0E2: hypothetical protein, partial	820.831
UniRef50_UPI000463F0E2: hypothetical protein, partial|unclassified	820.831
UniRef50_UPI00035E479F: hypothetical protein	820.134
UniRef50_UPI00035E479F: hypothetical protein|unclassified	820.134
UniRef50_UPI0004640089: acetylornithine deacetylase	818.087
UniRef50_UPI0004640089: acetylornithine deacetylase|unclassified	818.087
UniRef50_Q92VM6: Argininosuccinate lyase 2	816.786
UniRef50_Q92VM6: Argininosuccinate lyase 2|unclassified	816.786
UniRef50_UPI0003B6C708: argininosuccinate lyase	814.654
UniRef50_UPI0003B6C708: argininosuccinate lyase|unclassified	814.654
UniRef50_Q8VL04: Arginine repressor	813.724
UniRef50_Q8VL04: Arginine repressor|unclassified	813.724
UniRef50_A3MWJ5: Ornithine carbamoyltransferase	813.365
UniRef50_A3MWJ5: Ornithine carbamoyltransferase|unclassified	813.365
UniRef50_H9KJW8	808.351
UniRef50_H9KJW8|unclassified	808.351
UniRef50_UPI0003A00FBC: hypothetical protein	802.544
UniRef50_UPI0003A00FBC: hypothetical protein|unclassified	802.544
UniRef50_P54894: N-acetyl-gamma-glutamyl-phosphate reductase 2	792.796
UniRef50_P54894: N-acetyl-gamma-glutamyl-phosphate reductase 2|unclassified	792.796
UniRef50_UPI00047D101A: acetylornithine aminotransferase	792.578
UniRef50_UPI00047D101A: acetylornithine aminotransferase|unclassified	792.578
UniRef50_UPI00030D58DC: succinyl-diaminopimelate desuccinylase	788.313
UniRef50_UPI00030D58DC: succinyl-diaminopimelate desuccinylase|unclassified	788.313
UniRef50_UPI0003C7E085: acetylornithine aminotransferase	787.585
UniRef50_UPI0003C7E085: acetylornithine aminotransferase|unclassified	787.585
UniRef50_A1W038: Succinyl-diaminopimelate desuccinylase	784.223
UniRef50_A1W038: Succinyl-diaminopimelate desuccinylase|unclassified	784.223
UniRef50_UPI0003C390E5: PREDICTED: argininosuccinate synthase-like, partial	784.102
UniRef50_UPI0003C390E5: PREDICTED: argininosuccinate synthase-like, partial|unclassified	784.102
UniRef50_O50039: Ornithine carbamoyltransferase, chloroplastic	783.624
UniRef50_O50039: Ornithine carbamoyltransferase, chloroplastic|unclassified	783.624
UniRef50_UPI0003782F56: hypothetical protein	782.672
UniRef50_UPI0003782F56: hypothetical protein|unclassified	782.672
UniRef50_Q93EJ3: Arginine biosynthesis bifunctional protein ArgJ	779.386
UniRef50_Q93EJ3: Arginine biosynthesis bifunctional protein ArgJ|unclassified	779.386
UniRef50_UPI000050FBC5: putative acetylornithine deacetylase	777.859
UniRef50_UPI000050FBC5: putative acetylornithine deacetylase|unclassified	777.859
UniRef50_UPI00047B8AE5: acetylornithine aminotransferase	777.079
UniRef50_UPI00047B8AE5: acetylornithine aminotransferase|unclassified	777.079
UniRef50_Q7M7U1: N-acetyl-gamma-glutamyl-phosphate reductase	774.334
UniRef50_Q7M7U1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	774.334
UniRef50_B6JHG4: N-acetyl-gamma-glutamyl-phosphate reductase	774.122
UniRef50_B6JHG4: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	774.122
UniRef50_UPI00047679E0: acetylornithine aminotransferase	773.264
UniRef50_UPI00047679E0: acetylornithine aminotransferase|unclassified	773.264
UniRef50_W9U1B4	770.791
UniRef50_W9U1B4|unclassified	770.791
UniRef50_UPI00037BE953: hypothetical protein	767.022
UniRef50_UPI00037BE953: hypothetical protein|unclassified	767.022
UniRef50_UPI0003F8482E: hypothetical protein	764.017
UniRef50_UPI0003F8482E: hypothetical protein|unclassified	764.017
UniRef50_UPI00028886C3: acetylornithine deacetylase	761.848
UniRef50_UPI00028886C3: acetylornithine deacetylase|unclassified	761.848
UniRef50_A8ACB1: Ornithine carbamoyltransferase	760.939
UniRef50_A8ACB1: Ornithine carbamoyltransferase|unclassified	760.939
UniRef50_UPI00036AEF5C: hypothetical protein	759.786
UniRef50_UPI00036AEF5C: hypothetical protein|unclassified	759.786
UniRef50_UPI000472E410: hypothetical protein, partial	759.597
UniRef50_UPI000472E410: hypothetical protein, partial|unclassified	759.597
UniRef50_B3DSZ3: N-acetyl-gamma-glutamyl-phosphate reductase	756.786
UniRef50_B3DSZ3: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	756.786
UniRef50_UPI000473B438: hypothetical protein, partial	754.967
UniRef50_UPI000473B438: hypothetical protein, partial|unclassified	754.967
UniRef50_F9WCV7: WGS project CAEQ00000000 data, annotated contig 228 (Fragment)	753.815
UniRef50_F9WCV7: WGS project CAEQ00000000 data, annotated contig 228 (Fragment)|unclassified	753.815
UniRef50_UPI000365166D: hypothetical protein	753.4
UniRef50_UPI000365166D: hypothetical protein|unclassified	753.4
UniRef50_Q8KDE3: N-acetyl-gamma-glutamyl-phosphate reductase	752.374
UniRef50_Q8KDE3: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	752.374
UniRef50_UPI000465E5CC: peptidase M20, partial	744.071
UniRef50_UPI000465E5CC: peptidase M20, partial|unclassified	744.071
UniRef50_UPI00047A0113: acetylornithine deacetylase	743.991
UniRef50_UPI00047A0113: acetylornithine deacetylase|unclassified	743.991
UniRef50_Q93Z70: Probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic	741.948
UniRef50_Q93Z70: Probable N-acetyl-gamma-glutamyl-phosphate reductase, chloroplastic|unclassified	741.948
UniRef50_T0Z4W8: Diaminopimelate desuccinylase (Fragment)	741.558
UniRef50_T0Z4W8: Diaminopimelate desuccinylase (Fragment)|unclassified	741.558
UniRef50_A9BAE1: N-acetyl-gamma-glutamyl-phosphate reductase	738.923
UniRef50_A9BAE1: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	738.923
UniRef50_UPI00037223FB: hypothetical protein	737.115
UniRef50_UPI00037223FB: hypothetical protein|unclassified	737.115
UniRef50_H9K6T2: Arginine biosynthesis bifunctional protein ArgJ, mitochondrial	734.741
UniRef50_H9K6T2: Arginine biosynthesis bifunctional protein ArgJ, mitochondrial|unclassified	734.741
UniRef50_UPI00021A5E97: PREDICTED: arginine biosynthesis bifunctional protein ArgJ-like, partial	733.521
UniRef50_UPI00021A5E97: PREDICTED: arginine biosynthesis bifunctional protein ArgJ-like, partial|unclassified	733.521
UniRef50_A0A023KCS0	723.283
UniRef50_A0A023KCS0|unclassified	723.283
UniRef50_B0K4D2: N-acetyl-gamma-glutamyl-phosphate reductase	719.345
UniRef50_B0K4D2: N-acetyl-gamma-glutamyl-phosphate reductase|unclassified	719.345
UniRef50_UPI00047CFC3F: acetylornithine aminotransferase	717.984
UniRef50_UPI00047CFC3F: acetylornithine aminotransferase|unclassified	717.984
UniRef50_UPI000367360B: hypothetical protein	717.894
UniRef50_UPI000367360B: hypothetical protein|unclassified	717.894
UniRef50_Q8RAC2: Arginine repressor	714.433
