# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-RPKs
UniRef50_UPI00036FDBED: hypothetical protein|unclassified	119.4635978591
UniRef50_Q59998: Zinc-transporting ATPase	118.7339178986
UniRef50_Q59998: Zinc-transporting ATPase|unclassified	118.7339178986
UniRef50_UPI000465D955: hypothetical protein, partial	118.7233671772
UniRef50_UPI000465D955: hypothetical protein, partial|unclassified	118.7233671772
UniRef50_UPI00047139CD: membrane protein	118.5349526181
UniRef50_UPI00047139CD: membrane protein|unclassified	118.5349526181
UniRef50_UPI000299DAE9: RND family efflux transporter, MFP subunit, partial	118.2037647360
UniRef50_UPI000299DAE9: RND family efflux transporter, MFP subunit, partial|unclassified	118.2037647360
UniRef50_UPI000348F7F0: hypothetical protein	118.1250337176
UniRef50_UPI000348F7F0: hypothetical protein|unclassified	118.1250337176
UniRef50_UPI000380F87B: hypothetical protein	117.1056598942
UniRef50_UPI000380F87B: hypothetical protein|unclassified	117.1056598942
UniRef50_I6CFD3: Cation efflux system CusB domain protein	117.0975081299
UniRef50_I6CFD3: Cation efflux system CusB domain protein|unclassified	117.0975081299
UniRef50_UPI00036DEC27: hypothetical protein	116.9382919393
UniRef50_UPI00036DEC27: hypothetical protein|unclassified	116.9382919393
UniRef50_J8VE93	116.9219250180
UniRef50_J8VE93|unclassified	116.9219250180
UniRef50_UPI000465E674: membrane protein	116.1149556681
UniRef50_UPI000465E674: membrane protein|unclassified	116.1149556681
UniRef50_UPI0003629007: hypothetical protein	115.6752634139
UniRef50_UPI0003629007: hypothetical protein|unclassified	115.6752634139
UniRef50_UPI000472699E: membrane protein, partial	115.6237685415
UniRef50_UPI000472699E: membrane protein, partial|unclassified	115.6237685415
UniRef50_UPI000473BD64: hypothetical protein, partial	115.3440504618
UniRef50_UPI000473BD64: hypothetical protein, partial|unclassified	115.3440504618
UniRef50_UPI000255652F: iron transporter	114.7699155925
UniRef50_UPI000255652F: iron transporter|unclassified	114.7699155925
UniRef50_UPI00046A0EE0: hypothetical protein, partial	114.5803369985
UniRef50_UPI00046A0EE0: hypothetical protein, partial|unclassified	114.5803369985
UniRef50_UPI0003C1AECF	114.1927430747
UniRef50_UPI0003C1AECF|unclassified	114.1927430747
UniRef50_Q28TK3: Hydroxyacylglutathione hydrolase	114.1828332465
UniRef50_Q28TK3: Hydroxyacylglutathione hydrolase|unclassified	114.1828332465
UniRef50_B2I5S5: Hydroxyacylglutathione hydrolase	114.1442454871
UniRef50_B2I5S5: Hydroxyacylglutathione hydrolase|unclassified	114.1442454871
UniRef50_UPI0003B407F5: quinolinate synthetase	114.1439256976
UniRef50_UPI0003B407F5: quinolinate synthetase|unclassified	114.1439256976
UniRef50_UPI0003B75AE8: multidrug transporter	113.7955164606
UniRef50_UPI0003B75AE8: multidrug transporter|unclassified	113.7955164606
UniRef50_C2VVJ2: Regulator of pmrA	113.7497394155
UniRef50_C2VVJ2: Regulator of pmrA|unclassified	113.7497394155
UniRef50_T3CDQ6: GyrI-like small molecule binding domain protein	113.6202702706
UniRef50_T3CDQ6: GyrI-like small molecule binding domain protein|unclassified	113.6202702706
UniRef50_UPI00037B0290: ABC transporter permease, partial	113.4772533358
UniRef50_UPI00037B0290: ABC transporter permease, partial|unclassified	113.4772533358
UniRef50_UPI0004682DC2: hypothetical protein, partial	113.3240989456
UniRef50_UPI0004682DC2: hypothetical protein, partial|unclassified	113.3240989456
UniRef50_UPI00037DA4BB: hypothetical protein	113.0218840736
UniRef50_UPI00037DA4BB: hypothetical protein|unclassified	113.0218840736
UniRef50_UPI000465FB81: hypothetical protein	112.9210666764
UniRef50_UPI000465FB81: hypothetical protein|unclassified	112.9210666764
UniRef50_Z5XE21	112.8442899260
UniRef50_Z5XE21|unclassified	112.8442899260
UniRef50_Q9PBI4: Hydroxyacylglutathione hydrolase	112.6258886106
UniRef50_Q9PBI4: Hydroxyacylglutathione hydrolase|unclassified	112.6258886106
UniRef50_UPI00035E37F7: hypothetical protein	112.1541945934
UniRef50_UPI00035E37F7: hypothetical protein|unclassified	112.1541945934
UniRef50_D4G4K6	112.1105123750
UniRef50_D4G4K6|unclassified	112.1105123750
UniRef50_UPI00046D601E: hypothetical protein	111.4680757147
UniRef50_UPI00046D601E: hypothetical protein|unclassified	111.4680757147
UniRef50_UPI00034548B4: hypothetical protein	111.4420289958
UniRef50_UPI00034548B4: hypothetical protein|unclassified	111.4420289958
UniRef50_UPI0003959364: MerR family transcriptional regulator	111.4317579691
UniRef50_UPI0003959364: MerR family transcriptional regulator|unclassified	111.4317579691
UniRef50_UPI00037C3389: hypothetical protein	111.3362395012
UniRef50_UPI00037C3389: hypothetical protein|unclassified	111.3362395012
UniRef50_UPI00046CA56F: hypothetical protein	110.5547341072
UniRef50_UPI00046CA56F: hypothetical protein|unclassified	110.5547341072
UniRef50_UPI0003B65CAB: cation transporter	110.2649905737
UniRef50_UPI0003B65CAB: cation transporter|unclassified	110.2649905737
UniRef50_UPI0003651249: hypothetical protein	109.9252230050
UniRef50_UPI0003651249: hypothetical protein|unclassified	109.9252230050
UniRef50_UPI000464390C: hypothetical protein	109.8729777190
UniRef50_UPI000464390C: hypothetical protein|unclassified	109.8729777190
UniRef50_UPI00031ACF43: hypothetical protein	109.6554459745
UniRef50_UPI00031ACF43: hypothetical protein|unclassified	109.6554459745
UniRef50_UPI0003810BA5: hypothetical protein	108.9478031149
UniRef50_UPI0003810BA5: hypothetical protein|unclassified	108.9478031149
UniRef50_UPI0003773C52: hypothetical protein	108.8229218738
UniRef50_UPI0003773C52: hypothetical protein|unclassified	108.8229218738
UniRef50_UPI0003B50463: multidrug DMT transporter permease	108.6213175072
UniRef50_UPI0003B50463: multidrug DMT transporter permease|unclassified	108.6213175072
UniRef50_K2DI81	108.6122593113
UniRef50_K2DI81|unclassified	108.6122593113
UniRef50_UPI0003B3BAB1: XRE family transcriptional regulator	108.3646076438
UniRef50_UPI0003B3BAB1: XRE family transcriptional regulator|unclassified	108.3646076438
UniRef50_UPI0002556855: hypothetical protein	107.9328651140
UniRef50_UPI0002556855: hypothetical protein|unclassified	107.9328651140
UniRef50_UPI00047B86D1: transporter	107.8447964945
UniRef50_UPI00047B86D1: transporter|unclassified	107.8447964945
UniRef50_R6BFT2	107.8007197531
UniRef50_R6BFT2|unclassified	107.8007197531
UniRef50_UPI000344BD02: hypothetical protein	107.7891874376
UniRef50_UPI000344BD02: hypothetical protein|unclassified	107.7891874376
UniRef50_UPI0002E21084: hypothetical protein	107.6318931595
UniRef50_UPI0002E21084: hypothetical protein|unclassified	107.6318931595
UniRef50_UPI000367AB54: hypothetical protein, partial	107.5519306185
UniRef50_UPI000367AB54: hypothetical protein, partial|unclassified	107.5519306185
UniRef50_J9CQ37	107.3483366059
UniRef50_J9CQ37|unclassified	107.3483366059
UniRef50_UPI000362B8D0: hypothetical protein	106.8799419132
UniRef50_UPI000362B8D0: hypothetical protein|unclassified	106.8799419132
UniRef50_UPI0003B2ED04: MerR family transcriptional regulator, partial	106.7797099315
UniRef50_UPI0003B2ED04: MerR family transcriptional regulator, partial|unclassified	106.7797099315
UniRef50_UPI00046EBF3C: hypothetical protein	106.7186036626
UniRef50_UPI00046EBF3C: hypothetical protein|unclassified	106.7186036626
UniRef50_UPI000473145D: cation transporter, partial	106.0595967728
UniRef50_UPI000473145D: cation transporter, partial|unclassified	106.0595967728
UniRef50_UPI0004715632: hypothetical protein	105.6102860753
UniRef50_UPI0004715632: hypothetical protein|unclassified	105.6102860753
UniRef50_A0A011Q8A2: O-acetylserine/cysteine export protein	105.5082774117
UniRef50_A0A011Q8A2: O-acetylserine/cysteine export protein|unclassified	105.5082774117
UniRef50_W1HUA2	105.2513198354
UniRef50_W1HUA2|unclassified	105.2513198354
UniRef50_UPI00037E79A1: histidine kinase	105.0946655482
UniRef50_UPI00037E79A1: histidine kinase|unclassified	105.0946655482
UniRef50_N9D5G3	105.0801713816
UniRef50_N9D5G3|unclassified	105.0801713816
UniRef50_A5ILT8: Quinolinate synthase A	104.6732425496
UniRef50_A5ILT8: Quinolinate synthase A|unclassified	104.6732425496
UniRef50_UPI0003807F61: cation transporter	104.5331310297
UniRef50_UPI0003807F61: cation transporter|unclassified	104.5331310297
UniRef50_UPI000237C4FC: acriflavin resistance protein	104.0601483814
UniRef50_UPI000237C4FC: acriflavin resistance protein|unclassified	104.0601483814
UniRef50_UPI000472E765: RND transporter MFP subunit	103.7507808159
UniRef50_UPI000472E765: RND transporter MFP subunit|unclassified	103.7507808159
UniRef50_B9TJ33	103.6362293964
UniRef50_B9TJ33|unclassified	103.6362293964
UniRef50_UPI0003746D0E: hypothetical protein	103.4455029152
UniRef50_UPI0003746D0E: hypothetical protein|unclassified	103.4455029152
UniRef50_UPI000426F974: hypothetical protein	103.1448427912
UniRef50_UPI000426F974: hypothetical protein|unclassified	103.1448427912
UniRef50_UPI000464CF51: hypothetical protein	102.6341964658
UniRef50_UPI000464CF51: hypothetical protein|unclassified	102.6341964658
UniRef50_B9E7V8	102.2603690603
UniRef50_B9E7V8|unclassified	102.2603690603
UniRef50_UPI0002559B6F: membrane protein	102.2392941848
UniRef50_UPI0002559B6F: membrane protein|unclassified	102.2392941848
UniRef50_UPI00035FC283: hypothetical protein	102.1979941499
UniRef50_UPI00035FC283: hypothetical protein|unclassified	102.1979941499
UniRef50_UPI00040F2C2D: hypothetical protein	102.1508795940
UniRef50_UPI00040F2C2D: hypothetical protein|unclassified	102.1508795940
UniRef50_UPI00046640B3: hypothetical protein, partial	102.1489589242
UniRef50_UPI00046640B3: hypothetical protein, partial|unclassified	102.1489589242
UniRef50_W1X1G5	102.1115517788
UniRef50_W1X1G5|unclassified	102.1115517788
UniRef50_UPI0002483724: drug/metabolite exporter family transporter	102.0029025973
UniRef50_UPI0002483724: drug/metabolite exporter family transporter|unclassified	102.0029025973
UniRef50_UPI0004718E96: membrane protein	101.4521309240
UniRef50_UPI0004718E96: membrane protein|unclassified	101.4521309240
UniRef50_UPI0003626EA8: hypothetical protein	100.8273669954
UniRef50_UPI0003626EA8: hypothetical protein|unclassified	100.8273669954
UniRef50_UPI00028984D6: transcriptional regulatory protein	100.8007381636
UniRef50_UPI00028984D6: transcriptional regulatory protein|unclassified	100.8007381636
UniRef50_UPI00047A75E0: membrane protein	100.2025171431
UniRef50_UPI00047A75E0: membrane protein|unclassified	100.2025171431
UniRef50_UPI00036863E7: hemolysin D	99.8902943063
UniRef50_UPI00036863E7: hemolysin D|unclassified	99.8902943063
UniRef50_UPI000377B71E: hypothetical protein	99.8205627825
UniRef50_UPI000377B71E: hypothetical protein|unclassified	99.8205627825
UniRef50_UPI00036DC634: hypothetical protein	99.7977815808
UniRef50_UPI00036DC634: hypothetical protein|unclassified	99.7977815808
UniRef50_UPI000366A988: hypothetical protein, partial	99.4200909200
UniRef50_UPI000366A988: hypothetical protein, partial|unclassified	99.4200909200
UniRef50_L8FQB1	99.4165600824
UniRef50_L8FQB1|unclassified	99.4165600824
UniRef50_UPI0002377735: RND efflux transporter permease, partial	99.4114592557
UniRef50_UPI0002377735: RND efflux transporter permease, partial|unclassified	99.4114592557
UniRef50_W9T854: CzcB family heavy metal RND efflux membrane fusion protein	99.2662207864
UniRef50_W9T854: CzcB family heavy metal RND efflux membrane fusion protein|unclassified	99.2662207864
UniRef50_Q47457: Probable sensor protein PcoS	99.2083822100
UniRef50_Q47457: Probable sensor protein PcoS|unclassified	99.2083822100
UniRef50_UPI00021978F2: cobalt transporter	99.1018873962
UniRef50_UPI00021978F2: cobalt transporter|unclassified	99.1018873962
UniRef50_T1UDU8	98.7181452107
UniRef50_T1UDU8|unclassified	98.7181452107
UniRef50_UPI000472AF81: hypothetical protein	98.6705126416
UniRef50_UPI000472AF81: hypothetical protein|unclassified	98.6705126416
UniRef50_UPI00046DDE79: MerR family transcriptional regulator	97.9126329895
UniRef50_UPI00046DDE79: MerR family transcriptional regulator|unclassified	97.9126329895
UniRef50_W4N781: Membrane protein	97.6638684327
UniRef50_W4N781: Membrane protein|unclassified	97.6638684327
UniRef50_B5SM54	97.6468361550
UniRef50_B5SM54|unclassified	97.6468361550
UniRef50_UPI0004679D28: hypothetical protein	97.5117152253
UniRef50_UPI0004679D28: hypothetical protein|unclassified	97.5117152253
UniRef50_B0UIJ1: Co/Zn/Cd efflux system component-like protein	97.1799452937
UniRef50_B0UIJ1: Co/Zn/Cd efflux system component-like protein|unclassified	97.1799452937
UniRef50_UPI0002F3A876: hypothetical protein	96.8635368386
UniRef50_UPI0002F3A876: hypothetical protein|unclassified	96.8635368386
UniRef50_UPI0002192802: cation transport ATPase, partial	96.5901564185
UniRef50_UPI0002192802: cation transport ATPase, partial|unclassified	96.5901564185
UniRef50_V5M6L7	96.5473006085
UniRef50_V5M6L7|unclassified	96.5473006085
UniRef50_UPI0003064740: membrane protein	96.4924456095
UniRef50_UPI0003064740: membrane protein|unclassified	96.4924456095
UniRef50_UPI0004682C47: membrane protein	96.3826853115
UniRef50_UPI0004682C47: membrane protein|unclassified	96.3826853115
UniRef50_UPI00035C19B6: hypothetical protein	96.1989281801
UniRef50_UPI00035C19B6: hypothetical protein|unclassified	96.1989281801
UniRef50_UPI00041FBFE4: transcriptional regulator	95.7311652764
UniRef50_UPI00041FBFE4: transcriptional regulator|unclassified	95.7311652764
UniRef50_UPI00037C0839: cobalt transporter, partial	95.2642339652
UniRef50_UPI00037C0839: cobalt transporter, partial|unclassified	95.2642339652
UniRef50_UPI00039FF832: membrane protein	95.0113397120
UniRef50_UPI00039FF832: membrane protein|unclassified	95.0113397120
UniRef50_UPI0004671675: hypothetical protein	93.9445259158
UniRef50_UPI0004671675: hypothetical protein|unclassified	93.9445259158
UniRef50_UPI000363B7EE: hypothetical protein	93.9290027925
UniRef50_UPI000363B7EE: hypothetical protein|unclassified	93.9290027925
UniRef50_UPI00038130C9: hypothetical protein	93.7989423707
UniRef50_UPI00038130C9: hypothetical protein|unclassified	93.7989423707
UniRef50_K1Y5X2	93.5892152922
UniRef50_K1Y5X2|unclassified	93.5892152922
UniRef50_B1XQ70: Hydroxyacylglutathione hydrolase	93.4567253427
UniRef50_B1XQ70: Hydroxyacylglutathione hydrolase|unclassified	93.4567253427
UniRef50_UPI00030144E8: hypothetical protein	92.9951134753
UniRef50_UPI00030144E8: hypothetical protein|unclassified	92.9951134753
UniRef50_A0A010J4W8: Inner membrane yddG domain protein	92.8416769861
UniRef50_A0A010J4W8: Inner membrane yddG domain protein|unclassified	92.8416769861
UniRef50_UPI00029AE91C: RND family efflux transporter MFP subunit, partial	92.8376985448
UniRef50_UPI00029AE91C: RND family efflux transporter MFP subunit, partial|unclassified	92.8376985448
UniRef50_UPI00047A07C7: hypothetical protein, partial	92.7545024019
UniRef50_UPI00047A07C7: hypothetical protein, partial|unclassified	92.7545024019
UniRef50_UPI000381118D: hypothetical protein, partial	92.5693599273
UniRef50_UPI000381118D: hypothetical protein, partial|unclassified	92.5693599273
UniRef50_Q93ID3	92.4863388737
UniRef50_Q93ID3|unclassified	92.4863388737
UniRef50_UPI000468A0F6: zinc ABC transporter ATPase	92.4747873395
UniRef50_UPI000468A0F6: zinc ABC transporter ATPase|unclassified	92.4747873395
UniRef50_UPI0004777105: histidine kinase	92.2280247055
UniRef50_UPI0004777105: histidine kinase|unclassified	92.2280247055
UniRef50_UPI0004192D8B: hypothetical protein	92.0287040635
UniRef50_UPI0004192D8B: hypothetical protein|unclassified	92.0287040635
UniRef50_UPI0002D916BF: hypothetical protein	91.6346777617
UniRef50_UPI0002D916BF: hypothetical protein|unclassified	91.6346777617
UniRef50_UPI0004723AF3: permease	91.5804433511
UniRef50_UPI0004723AF3: permease|unclassified	91.5804433511
UniRef50_UPI0003B3DC37: multidrug transporter	91.5181173006
UniRef50_UPI0003B3DC37: multidrug transporter|unclassified	91.5181173006
UniRef50_Z5X6Y7	91.4897263818
UniRef50_Z5X6Y7|unclassified	91.4897263818
UniRef50_UPI0002E11948: hypothetical protein	91.3850674764
UniRef50_UPI0002E11948: hypothetical protein|unclassified	91.3850674764
UniRef50_UPI0002628B0F: multidrug DMT transporter permease	91.2093411348
UniRef50_UPI0002628B0F: multidrug DMT transporter permease|unclassified	91.2093411348
UniRef50_UPI00031EA987: hypothetical protein	91.1071129711
UniRef50_UPI00031EA987: hypothetical protein|unclassified	91.1071129711
UniRef50_UPI0002D3A412: hypothetical protein	90.4409152724
UniRef50_UPI0002D3A412: hypothetical protein|unclassified	90.4409152724
UniRef50_UPI000225BED5: Co/Zn/Cd cation transporter	90.1657806382
UniRef50_UPI000225BED5: Co/Zn/Cd cation transporter|unclassified	90.1657806382
UniRef50_N6UU63	90.0922790053
UniRef50_N6UU63|unclassified	90.0922790053
UniRef50_UPI0003077793: hypothetical protein	89.9702434714
UniRef50_UPI0003077793: hypothetical protein|unclassified	89.9702434714
UniRef50_K0J1M5: MerR family transcriptional regulator	89.9080168700
UniRef50_K0J1M5: MerR family transcriptional regulator|unclassified	89.9080168700
UniRef50_C0AQE4	89.6821360781
UniRef50_C0AQE4|unclassified	89.6821360781
UniRef50_N8EYH1	89.6683090648
UniRef50_N8EYH1|unclassified	89.6683090648
UniRef50_UPI0002BA8819: hypothetical protein, partial	89.0279882995
UniRef50_UPI0002BA8819: hypothetical protein, partial|unclassified	89.0279882995
UniRef50_UPI00046F9237: cation transporter	89.0096571780
UniRef50_UPI00046F9237: cation transporter|unclassified	89.0096571780
UniRef50_I6HC47: Putative AcrB-like domain protein	88.9190688531
UniRef50_I6HC47: Putative AcrB-like domain protein|unclassified	88.9190688531
UniRef50_A0A011M3H3: Cation efflux system protein CzcC	88.5782816266
UniRef50_A0A011M3H3: Cation efflux system protein CzcC|unclassified	88.5782816266
UniRef50_UPI00037313C8: hypothetical protein	88.3888141917
UniRef50_UPI00037313C8: hypothetical protein|unclassified	88.3888141917
UniRef50_UPI00029B29FC: heavy metal efflux pump	88.3783335758
UniRef50_UPI00029B29FC: heavy metal efflux pump|unclassified	88.3783335758
UniRef50_UPI0002F40134: hypothetical protein	88.3051261185
UniRef50_UPI0002F40134: hypothetical protein|unclassified	88.3051261185
UniRef50_UPI00016C4335: multidrug transporter AcrB	88.1258270501
UniRef50_UPI00016C4335: multidrug transporter AcrB|unclassified	88.1258270501
UniRef50_UPI00036AB2F3: hypothetical protein	88.0924913585
UniRef50_UPI00036AB2F3: hypothetical protein|unclassified	88.0924913585
UniRef50_UPI000370690A: hypothetical protein, partial	87.9643330826
UniRef50_UPI000370690A: hypothetical protein, partial|unclassified	87.9643330826
UniRef50_UPI00037CFFFC: hypothetical protein	87.8831565309
UniRef50_UPI00037CFFFC: hypothetical protein|unclassified	87.8831565309
UniRef50_F2ZZ13: HlyD family secretion protein (Fragment)	87.7424763251
UniRef50_F2ZZ13: HlyD family secretion protein (Fragment)|unclassified	87.7424763251
UniRef50_UPI0003152D15: DNA-binding protein	87.5906126607
UniRef50_UPI0003152D15: DNA-binding protein|unclassified	87.5906126607
UniRef50_UPI00047341F4: cation transporter, partial	87.3846986323
UniRef50_UPI00047341F4: cation transporter, partial|unclassified	87.3846986323
UniRef50_UPI0003EFA1D6: hypothetical protein	86.7285816409
UniRef50_UPI0003EFA1D6: hypothetical protein|unclassified	86.7285816409
UniRef50_UPI00016A546A: hypothetical protein, partial	86.7185850944
UniRef50_UPI00016A546A: hypothetical protein, partial|unclassified	86.7185850944
UniRef50_UPI0003B462A0: MerR family transcriptional regulator	86.6271401390
UniRef50_UPI0003B462A0: MerR family transcriptional regulator|unclassified	86.6271401390
UniRef50_UPI0003B426F8: hypothetical protein, partial	86.4400853812
UniRef50_UPI0003B426F8: hypothetical protein, partial|unclassified	86.4400853812
UniRef50_UPI00029AAF3D: acriflavin resistance protein	86.0922076800
UniRef50_UPI00029AAF3D: acriflavin resistance protein|unclassified	86.0922076800
UniRef50_D7HVF0: Efflux transporter, RND family, MFP subunit	86.0248296054
UniRef50_D7HVF0: Efflux transporter, RND family, MFP subunit|unclassified	86.0248296054
UniRef50_UPI00036F8D63: acriflavine resistance protein B, partial	85.9217681219
UniRef50_UPI00036F8D63: acriflavine resistance protein B, partial|unclassified	85.9217681219
UniRef50_W2D3W8	85.8558242565
UniRef50_W2D3W8|unclassified	85.8558242565
UniRef50_UPI00047107A1: hypothetical protein	85.7210214208
UniRef50_UPI00047107A1: hypothetical protein|unclassified	85.7210214208
UniRef50_W8U6P4	85.7044672955
UniRef50_W8U6P4|unclassified	85.7044672955
UniRef50_UPI000478FFCF: hypothetical protein	85.2114491218
UniRef50_UPI000478FFCF: hypothetical protein|unclassified	85.2114491218
UniRef50_UPI0003788EE6: cation transporter, partial	85.1447786153
UniRef50_UPI0003788EE6: cation transporter, partial|unclassified	85.1447786153
UniRef50_UPI0003693FD9: hypothetical protein	84.9464696627
UniRef50_UPI0003693FD9: hypothetical protein|unclassified	84.9464696627
UniRef50_UPI0003641518: hypothetical protein	84.9165277242
UniRef50_UPI0003641518: hypothetical protein|unclassified	84.9165277242
UniRef50_A0A011R282: Multidrug transporter MdtB	84.7538686833
UniRef50_A0A011R282: Multidrug transporter MdtB|unclassified	84.7538686833
UniRef50_UPI000474403F: hypothetical protein	84.7439243488
UniRef50_UPI000474403F: hypothetical protein|unclassified	84.7439243488
UniRef50_W5X7F1: Band 7 protein	84.7056391824
UniRef50_W5X7F1: Band 7 protein|unclassified	84.7056391824
UniRef50_A9M0M3: Hydroxyacylglutathione hydrolase	84.3283705170
UniRef50_A9M0M3: Hydroxyacylglutathione hydrolase|unclassified	84.3283705170
UniRef50_UPI0002555DD3: quinolinate synthetase	83.9205774240
UniRef50_UPI0002555DD3: quinolinate synthetase|unclassified	83.9205774240
UniRef50_C6PQV1	83.8704902219
UniRef50_C6PQV1|unclassified	83.8704902219
UniRef50_UPI00046F387E: response regulator	83.7035240546
UniRef50_UPI00046F387E: response regulator|unclassified	83.7035240546
UniRef50_C3DRT1: Transcriptional regulator, MerR	83.6094559055
UniRef50_C3DRT1: Transcriptional regulator, MerR|unclassified	83.6094559055
UniRef50_UPI0004148387: MULTISPECIES: multidrug DMT transporter permease	83.5988661246
UniRef50_UPI0004148387: MULTISPECIES: multidrug DMT transporter permease|unclassified	83.5988661246
UniRef50_UPI00046F92F6: multidrug transporter	83.4761043931
UniRef50_UPI00046F92F6: multidrug transporter|unclassified	83.4761043931
UniRef50_P57336: Hydroxyacylglutathione hydrolase	83.1752138133
UniRef50_P57336: Hydroxyacylglutathione hydrolase|unclassified	83.1752138133
UniRef50_UPI000472AC17: hypothetical protein	83.1285739554
UniRef50_UPI000472AC17: hypothetical protein|unclassified	83.1285739554
UniRef50_UPI0003498537: hypothetical protein	83.0584413500
UniRef50_UPI0003498537: hypothetical protein|unclassified	83.0584413500
UniRef50_W8V4A1: Threonine/homoserine exporter RhtA	82.9510297933
UniRef50_W8V4A1: Threonine/homoserine exporter RhtA|unclassified	82.9510297933
UniRef50_UPI0004764830: RND transporter MFP subunit	82.8709526136
UniRef50_UPI0004764830: RND transporter MFP subunit|unclassified	82.8709526136
UniRef50_X1ME89: Marine sediment metagenome DNA, contig: S06H3_S07435 (Fragment)	82.8487303046
UniRef50_X1ME89: Marine sediment metagenome DNA, contig: S06H3_S07435 (Fragment)|unclassified	82.8487303046
UniRef50_C5QMW8: Transcriptional regulator, MerR family	82.7960211163
UniRef50_C5QMW8: Transcriptional regulator, MerR family|unclassified	82.7960211163
UniRef50_UPI0004761E4F: cadmium transporter	82.7001593188
UniRef50_UPI0004761E4F: cadmium transporter|unclassified	82.7001593188
UniRef50_UPI00047C4BBF: GCN5 family acetyltransferase	82.5993287790
UniRef50_UPI00047C4BBF: GCN5 family acetyltransferase|unclassified	82.5993287790
UniRef50_UPI0002E894B7: hypothetical protein	82.2038479681
UniRef50_UPI0002E894B7: hypothetical protein|unclassified	82.2038479681
UniRef50_UPI0004239299: ABC transporter permease	82.0313150016
UniRef50_UPI0004239299: ABC transporter permease|unclassified	82.0313150016
UniRef50_W7VYK3	81.9737375032
UniRef50_W7VYK3|unclassified	81.9737375032
UniRef50_UPI00040AD609: hypothetical protein	81.7834532533
UniRef50_UPI00040AD609: hypothetical protein|unclassified	81.7834532533
UniRef50_UPI0003825C98: hypothetical protein	81.3444374329
UniRef50_UPI0003825C98: hypothetical protein|unclassified	81.3444374329
UniRef50_UPI0003782D4B: hypothetical protein	81.2857310903
UniRef50_UPI0003782D4B: hypothetical protein|unclassified	81.2857310903
UniRef50_UPI00035F67C3: hypothetical protein, partial	81.1248617655
UniRef50_UPI00035F67C3: hypothetical protein, partial|unclassified	81.1248617655
UniRef50_UPI0002556861: hypothetical protein	81.1247088470
UniRef50_UPI0002556861: hypothetical protein|unclassified	81.1247088470
UniRef50_UPI000181653B: putative cation efflux protein	81.0819062679
UniRef50_UPI000181653B: putative cation efflux protein|unclassified	81.0819062679
UniRef50_UPI00046581C3: MULTISPECIES: quinolinate synthetase	80.9331770907
UniRef50_UPI00046581C3: MULTISPECIES: quinolinate synthetase|unclassified	80.9331770907
UniRef50_UPI0003B694B8: multidrug transporter AcrB	80.8392257597
UniRef50_UPI0003B694B8: multidrug transporter AcrB|unclassified	80.8392257597
UniRef50_UPI0003B35BC2: hypothetical protein	80.5395331302
UniRef50_UPI0003B35BC2: hypothetical protein|unclassified	80.5395331302
UniRef50_UPI0003725AD3: hypothetical protein, partial	80.1669090147
UniRef50_UPI0003725AD3: hypothetical protein, partial|unclassified	80.1669090147
UniRef50_UPI000287B478: hypothetical protein, partial	80.0517654180
UniRef50_UPI000287B478: hypothetical protein, partial|unclassified	80.0517654180
UniRef50_UPI00037A52F9: hypothetical protein	80.0238218671
UniRef50_UPI00037A52F9: hypothetical protein|unclassified	80.0238218671
UniRef50_UPI0003747633: hypothetical protein	79.9569344910
UniRef50_UPI0003747633: hypothetical protein|unclassified	79.9569344910
UniRef50_UPI0002BC0B18: hypothetical protein, partial	79.8915487648
UniRef50_UPI0002BC0B18: hypothetical protein, partial|unclassified	79.8915487648
UniRef50_UPI000381B0BC: hypothetical protein, partial	79.8497429924
UniRef50_UPI000381B0BC: hypothetical protein, partial|unclassified	79.8497429924
UniRef50_UPI0003776764: hypothetical protein	79.5186304322
UniRef50_UPI0003776764: hypothetical protein|unclassified	79.5186304322
UniRef50_UPI00047BB40B: hypothetical protein	79.2111603847
UniRef50_UPI00047BB40B: hypothetical protein|unclassified	79.2111603847
UniRef50_N4RHJ7: Cation efflux system CusB domain protein	79.1617874035
UniRef50_N4RHJ7: Cation efflux system CusB domain protein|unclassified	79.1617874035
UniRef50_W5S9I1: Cation efflux family protein	79.0805872144
UniRef50_W5S9I1: Cation efflux family protein|unclassified	79.0805872144
UniRef50_UPI00035D6593: hypothetical protein	78.9320816866
UniRef50_UPI00035D6593: hypothetical protein|unclassified	78.9320816866
UniRef50_M9TTQ7: Transcriptional regulator	78.9088320179
UniRef50_M9TTQ7: Transcriptional regulator|unclassified	78.9088320179
UniRef50_T5KAP0	78.5082341374
UniRef50_T5KAP0|unclassified	78.5082341374
UniRef50_G7ECE9: Cu(I)/Ag(I) efflux system membrane protein CusB	78.3700765239
UniRef50_G7ECE9: Cu(I)/Ag(I) efflux system membrane protein CusB|unclassified	78.3700765239
UniRef50_F9HSE0	78.2708053159
UniRef50_F9HSE0|unclassified	78.2708053159
UniRef50_UPI0000557756: hypothetical protein	78.2442083854
UniRef50_UPI0000557756: hypothetical protein|unclassified	78.2442083854
UniRef50_K2SNP4: Efflux transporter, RND family, MFP subunit	78.2000419003
UniRef50_K2SNP4: Efflux transporter, RND family, MFP subunit|unclassified	78.2000419003
UniRef50_UPI00037E33D0: hypothetical protein	78.1397672595
UniRef50_UPI00037E33D0: hypothetical protein|unclassified	78.1397672595
