# Gene Family	SampleCobalt-zinc-cadmium_resistance_Abundance-CPM
UniRef50_UPI00029AAF3D: acriflavin resistance protein|unclassified	344.738
UniRef50_D7HVF0: Efflux transporter, RND family, MFP subunit	344.468
UniRef50_D7HVF0: Efflux transporter, RND family, MFP subunit|unclassified	344.468
UniRef50_UPI00036F8D63: acriflavine resistance protein B, partial	344.056
UniRef50_UPI00036F8D63: acriflavine resistance protein B, partial|unclassified	344.056
UniRef50_W2D3W8	343.792
UniRef50_W2D3W8|unclassified	343.792
UniRef50_UPI00047107A1: hypothetical protein	343.252
UniRef50_UPI00047107A1: hypothetical protein|unclassified	343.252
UniRef50_W8U6P4	343.185
UniRef50_W8U6P4|unclassified	343.185
UniRef50_UPI000478FFCF: hypothetical protein	341.211
UniRef50_UPI000478FFCF: hypothetical protein|unclassified	341.211
UniRef50_UPI0003788EE6: cation transporter, partial	340.944
UniRef50_UPI0003788EE6: cation transporter, partial|unclassified	340.944
UniRef50_UPI0003693FD9: hypothetical protein	340.15
UniRef50_UPI0003693FD9: hypothetical protein|unclassified	340.15
UniRef50_UPI0003641518: hypothetical protein	340.03
UniRef50_UPI0003641518: hypothetical protein|unclassified	340.03
UniRef50_A0A011R282: Multidrug transporter MdtB	339.379
UniRef50_A0A011R282: Multidrug transporter MdtB|unclassified	339.379
UniRef50_UPI000474403F: hypothetical protein	339.339
UniRef50_UPI000474403F: hypothetical protein|unclassified	339.339
UniRef50_W5X7F1: Band 7 protein	339.186
UniRef50_W5X7F1: Band 7 protein|unclassified	339.186
UniRef50_A9M0M3: Hydroxyacylglutathione hydrolase	337.675
UniRef50_A9M0M3: Hydroxyacylglutathione hydrolase|unclassified	337.675
UniRef50_UPI0002555DD3: quinolinate synthetase	336.042
UniRef50_UPI0002555DD3: quinolinate synthetase|unclassified	336.042
UniRef50_C6PQV1	335.842
UniRef50_C6PQV1|unclassified	335.842
UniRef50_UPI00046F387E: response regulator	335.173
UniRef50_UPI00046F387E: response regulator|unclassified	335.173
UniRef50_C3DRT1: Transcriptional regulator, MerR	334.796
UniRef50_C3DRT1: Transcriptional regulator, MerR|unclassified	334.796
UniRef50_UPI0004148387: MULTISPECIES: multidrug DMT transporter permease	334.754
UniRef50_UPI0004148387: MULTISPECIES: multidrug DMT transporter permease|unclassified	334.754
UniRef50_UPI00046F92F6: multidrug transporter	334.262
UniRef50_UPI00046F92F6: multidrug transporter|unclassified	334.262
UniRef50_P57336: Hydroxyacylglutathione hydrolase	333.058
UniRef50_P57336: Hydroxyacylglutathione hydrolase|unclassified	333.058
UniRef50_UPI000472AC17: hypothetical protein	332.871
UniRef50_UPI000472AC17: hypothetical protein|unclassified	332.871
UniRef50_UPI0003498537: hypothetical protein	332.59
UniRef50_UPI0003498537: hypothetical protein|unclassified	332.59
UniRef50_W8V4A1: Threonine/homoserine exporter RhtA	332.16
UniRef50_W8V4A1: Threonine/homoserine exporter RhtA|unclassified	332.16
UniRef50_UPI0004764830: RND transporter MFP subunit	331.839
UniRef50_UPI0004764830: RND transporter MFP subunit|unclassified	331.839
UniRef50_X1ME89: Marine sediment metagenome DNA, contig: S06H3_S07435 (Fragment)	331.75
UniRef50_X1ME89: Marine sediment metagenome DNA, contig: S06H3_S07435 (Fragment)|unclassified	331.75
UniRef50_C5QMW8: Transcriptional regulator, MerR family	331.539
UniRef50_C5QMW8: Transcriptional regulator, MerR family|unclassified	331.539
UniRef50_UPI0004761E4F: cadmium transporter	331.155
UniRef50_UPI0004761E4F: cadmium transporter|unclassified	331.155
UniRef50_UPI00047C4BBF: GCN5 family acetyltransferase	330.752
UniRef50_UPI00047C4BBF: GCN5 family acetyltransferase|unclassified	330.752
UniRef50_UPI0002E894B7: hypothetical protein	329.168
UniRef50_UPI0002E894B7: hypothetical protein|unclassified	329.168
UniRef50_UPI0004239299: ABC transporter permease	328.477
UniRef50_UPI0004239299: ABC transporter permease|unclassified	328.477
UniRef50_W7VYK3	328.247
UniRef50_W7VYK3|unclassified	328.247
UniRef50_UPI00040AD609: hypothetical protein	327.485
UniRef50_UPI00040AD609: hypothetical protein|unclassified	327.485
UniRef50_UPI0003825C98: hypothetical protein	325.727
UniRef50_UPI0003825C98: hypothetical protein|unclassified	325.727
UniRef50_UPI0003782D4B: hypothetical protein	325.492
UniRef50_UPI0003782D4B: hypothetical protein|unclassified	325.492
UniRef50_UPI00035F67C3: hypothetical protein, partial	324.847
UniRef50_UPI00035F67C3: hypothetical protein, partial|unclassified	324.847
UniRef50_UPI0002556861: hypothetical protein	324.847
UniRef50_UPI0002556861: hypothetical protein|unclassified	324.847
UniRef50_UPI000181653B: putative cation efflux protein	324.675
UniRef50_UPI000181653B: putative cation efflux protein|unclassified	324.675
UniRef50_UPI00046581C3: MULTISPECIES: quinolinate synthetase	324.08
UniRef50_UPI00046581C3: MULTISPECIES: quinolinate synthetase|unclassified	324.08
UniRef50_UPI0003B694B8: multidrug transporter AcrB	323.704
UniRef50_UPI0003B694B8: multidrug transporter AcrB|unclassified	323.704
UniRef50_UPI0003B35BC2: hypothetical protein	322.504
UniRef50_UPI0003B35BC2: hypothetical protein|unclassified	322.504
UniRef50_UPI0003725AD3: hypothetical protein, partial	321.011
UniRef50_UPI0003725AD3: hypothetical protein, partial|unclassified	321.011
UniRef50_UPI000287B478: hypothetical protein, partial	320.55
UniRef50_UPI000287B478: hypothetical protein, partial|unclassified	320.55
UniRef50_UPI00037A52F9: hypothetical protein	320.439
UniRef50_UPI00037A52F9: hypothetical protein|unclassified	320.439
UniRef50_UPI0003747633: hypothetical protein	320.171
UniRef50_UPI0003747633: hypothetical protein|unclassified	320.171
UniRef50_UPI0002BC0B18: hypothetical protein, partial	319.909
UniRef50_UPI0002BC0B18: hypothetical protein, partial|unclassified	319.909
UniRef50_UPI000381B0BC: hypothetical protein, partial	319.741
UniRef50_UPI000381B0BC: hypothetical protein, partial|unclassified	319.741
UniRef50_UPI0003776764: hypothetical protein	318.416
UniRef50_UPI0003776764: hypothetical protein|unclassified	318.416
UniRef50_UPI00047BB40B: hypothetical protein	317.184
UniRef50_UPI00047BB40B: hypothetical protein|unclassified	317.184
UniRef50_N4RHJ7: Cation efflux system CusB domain protein	316.987
UniRef50_N4RHJ7: Cation efflux system CusB domain protein|unclassified	316.987
UniRef50_W5S9I1: Cation efflux family protein	316.662
UniRef50_W5S9I1: Cation efflux family protein|unclassified	316.662
UniRef50_UPI00035D6593: hypothetical protein	316.067
UniRef50_UPI00035D6593: hypothetical protein|unclassified	316.067
UniRef50_M9TTQ7: Transcriptional regulator	315.974
UniRef50_M9TTQ7: Transcriptional regulator|unclassified	315.974
UniRef50_T5KAP0	314.37
UniRef50_T5KAP0|unclassified	314.37
UniRef50_G7ECE9: Cu(I)/Ag(I) efflux system membrane protein CusB	313.816
UniRef50_G7ECE9: Cu(I)/Ag(I) efflux system membrane protein CusB|unclassified	313.816
UniRef50_F9HSE0	313.419
UniRef50_F9HSE0|unclassified	313.419
UniRef50_UPI0000557756: hypothetical protein	313.312
UniRef50_UPI0000557756: hypothetical protein|unclassified	313.312
UniRef50_K2SNP4: Efflux transporter, RND family, MFP subunit	313.136
UniRef50_K2SNP4: Efflux transporter, RND family, MFP subunit|unclassified	313.136
UniRef50_UPI00037E33D0: hypothetical protein	312.894
UniRef50_UPI00037E33D0: hypothetical protein|unclassified	312.894
UniRef50_H6WCM8	312.819
UniRef50_H6WCM8|unclassified	312.819
UniRef50_UPI0003691F87: hypothetical protein	312.743
UniRef50_UPI0003691F87: hypothetical protein|unclassified	312.743
UniRef50_W5X8L5: MFS transporter family protein	312.687
UniRef50_W5X8L5: MFS transporter family protein|unclassified	312.687
UniRef50_A0A010P1E1: Zinc-responsive transcriptional regulator (Fragment)	312.538
UniRef50_A0A010P1E1: Zinc-responsive transcriptional regulator (Fragment)|unclassified	312.538
UniRef50_J8T757	312.371
UniRef50_J8T757|unclassified	312.371
UniRef50_I0JNZ0: Metallo-beta-lactamase family protein	312.076
UniRef50_I0JNZ0: Metallo-beta-lactamase family protein|unclassified	312.076
UniRef50_Q5ZVZ3: Hydroxyacylglutathione hydrolase	312.012
UniRef50_Q5ZVZ3: Hydroxyacylglutathione hydrolase|unclassified	312.012
UniRef50_UPI000346A739: permease	310.524
UniRef50_UPI000346A739: permease|unclassified	310.524
UniRef50_UPI00039B9EBC: hypothetical protein	308.725
UniRef50_UPI00039B9EBC: hypothetical protein|unclassified	308.725
UniRef50_UPI00039E379B: hypothetical protein	308.464
UniRef50_UPI00039E379B: hypothetical protein|unclassified	308.464
UniRef50_W1LDD4	308.423
UniRef50_W1LDD4|unclassified	308.423
UniRef50_UPI0003719911: hypothetical protein	306.64
UniRef50_UPI0003719911: hypothetical protein|unclassified	306.64
UniRef50_UPI0003612B8D: hypothetical protein	306.621
UniRef50_UPI0003612B8D: hypothetical protein|unclassified	306.621
UniRef50_UPI00037CA703: multidrug DMT transporter permease, partial	306.464
UniRef50_UPI00037CA703: multidrug DMT transporter permease, partial|unclassified	306.464
UniRef50_A2C7W3: Hydroxyacylglutathione hydrolase	306.415
UniRef50_A2C7W3: Hydroxyacylglutathione hydrolase|unclassified	306.415
UniRef50_UPI00047B0188: hypothetical protein	305.961
UniRef50_UPI00047B0188: hypothetical protein|unclassified	305.961
UniRef50_A3M8U2	305.805
UniRef50_A3M8U2|unclassified	305.805
UniRef50_UPI0004702531: ATPase	305.433
UniRef50_UPI0004702531: ATPase|unclassified	305.433
UniRef50_UPI0003B42406: RND transporter	304.472
UniRef50_UPI0003B42406: RND transporter|unclassified	304.472
UniRef50_I9AUU9: Acriflavin resistance protein	304.355
UniRef50_I9AUU9: Acriflavin resistance protein|unclassified	304.355
UniRef50_W7VS73	304.322
UniRef50_W7VS73|unclassified	304.322
UniRef50_P35597: Probable cation-transporting ATPase exp7	303.889
UniRef50_P35597: Probable cation-transporting ATPase exp7|unclassified	303.889
UniRef50_UPI00047D5BB3: hypothetical protein	302.736
UniRef50_UPI00047D5BB3: hypothetical protein|unclassified	302.736
UniRef50_UPI0003FA4DC1: hypothetical protein	301.293
UniRef50_UPI0003FA4DC1: hypothetical protein|unclassified	301.293
UniRef50_UPI00036FE051: hypothetical protein, partial	300.644
UniRef50_UPI00036FE051: hypothetical protein, partial|unclassified	300.644
UniRef50_A1SS88: Hydroxyacylglutathione hydrolase	298.759
UniRef50_A1SS88: Hydroxyacylglutathione hydrolase|unclassified	298.759
UniRef50_UPI0002FC3C20: hypothetical protein	298.529
UniRef50_UPI0002FC3C20: hypothetical protein|unclassified	298.529
UniRef50_C3I0Q2: Transcriptional regulator, XRE	298.513
UniRef50_C3I0Q2: Transcriptional regulator, XRE|unclassified	298.513
UniRef50_UPI00047AE73B: hypothetical protein	298.274
UniRef50_UPI00047AE73B: hypothetical protein|unclassified	298.274
UniRef50_UPI0003639F3F: hypothetical protein, partial	296.521
UniRef50_UPI0003639F3F: hypothetical protein, partial|unclassified	296.521
UniRef50_Q8TZ66: Quinolinate synthase A	295.008
UniRef50_Q8TZ66: Quinolinate synthase A|unclassified	295.008
UniRef50_UPI0001850E34: regulatory protein MerR	294.359
UniRef50_UPI0001850E34: regulatory protein MerR|unclassified	294.359
UniRef50_UPI00041DE2B0: cation transporter	292.728
UniRef50_UPI00041DE2B0: cation transporter|unclassified	292.728
UniRef50_UPI000477656E: membrane protein	291.814
UniRef50_UPI000477656E: membrane protein|unclassified	291.814
UniRef50_K2K8V5: Heavy metal efflux system protein	291.268
UniRef50_K2K8V5: Heavy metal efflux system protein|unclassified	291.268
UniRef50_UPI0003F830A6: hydroxyacylglutathione hydrolase	290.584
UniRef50_UPI0003F830A6: hydroxyacylglutathione hydrolase|unclassified	290.584
UniRef50_UPI00034C4C33: hypothetical protein	290.42
UniRef50_UPI00034C4C33: hypothetical protein|unclassified	290.42
UniRef50_UPI000479D365: cation transporter	288.698
UniRef50_UPI000479D365: cation transporter|unclassified	288.698
UniRef50_V7D0Y8: ATPase (Fragment)	287.233
UniRef50_V7D0Y8: ATPase (Fragment)|unclassified	287.233
UniRef50_UPI00036A6A32: hypothetical protein	286.931
UniRef50_UPI00036A6A32: hypothetical protein|unclassified	286.931
UniRef50_UPI00035DD9C4: hypothetical protein	286.543
UniRef50_UPI00035DD9C4: hypothetical protein|unclassified	286.543
UniRef50_J8RTW6: XRE family transcriptional regulator (Fragment)	285.284
UniRef50_J8RTW6: XRE family transcriptional regulator (Fragment)|unclassified	285.284
UniRef50_UPI00023757E5: membrane protein	285.026
UniRef50_UPI00023757E5: membrane protein|unclassified	285.026
UniRef50_UPI000463156F: hypothetical protein	284.315
UniRef50_UPI000463156F: hypothetical protein|unclassified	284.315
UniRef50_UPI00035C29BD: hypothetical protein	284.271
UniRef50_UPI00035C29BD: hypothetical protein|unclassified	284.271
UniRef50_UPI0003FB2EBF: hypothetical protein	283.827
UniRef50_UPI0003FB2EBF: hypothetical protein|unclassified	283.827
UniRef50_UPI00047404E0: membrane protein	283.48
UniRef50_UPI00047404E0: membrane protein|unclassified	283.48
UniRef50_UPI0004697301: zinc ABC transporter	282.676
UniRef50_UPI0004697301: zinc ABC transporter|unclassified	282.676
UniRef50_UPI00036A9CB3: hypothetical protein	282.079
UniRef50_UPI00036A9CB3: hypothetical protein|unclassified	282.079
UniRef50_A0A038FYZ3	281.716
UniRef50_A0A038FYZ3|unclassified	281.716
UniRef50_UPI0002DC87E3: hypothetical protein	280.757
UniRef50_UPI0002DC87E3: hypothetical protein|unclassified	280.757
UniRef50_A0A011MW49	280.566
UniRef50_A0A011MW49|unclassified	280.566
UniRef50_UPI000474CB6D: permease	279.819
UniRef50_UPI000474CB6D: permease|unclassified	279.819
UniRef50_UPI000467B437: hypothetical protein, partial	279.344
UniRef50_UPI000467B437: hypothetical protein, partial|unclassified	279.344
UniRef50_UPI00036F3DCD: hypothetical protein	279.175
UniRef50_UPI00036F3DCD: hypothetical protein|unclassified	279.175
UniRef50_A0A011NIF4: Cation efflux system protein CusB	278.259
UniRef50_A0A011NIF4: Cation efflux system protein CusB|unclassified	278.259
UniRef50_UPI000475E87A: membrane protein	278.061
UniRef50_UPI000475E87A: membrane protein|unclassified	278.061
UniRef50_UPI000474BAAD: hypothetical protein, partial	277.29
UniRef50_UPI000474BAAD: hypothetical protein, partial|unclassified	277.29
UniRef50_W7WST6: Cation efflux system protein CusB	276.709
UniRef50_W7WST6: Cation efflux system protein CusB|unclassified	276.709
UniRef50_UPI0003824958: hypothetical protein	275.541
UniRef50_UPI0003824958: hypothetical protein|unclassified	275.541
UniRef50_C9Q4Z4: Permease	274.713
UniRef50_C9Q4Z4: Permease|unclassified	274.713
UniRef50_UPI0003FF2678: cation transporter	273.882
UniRef50_UPI0003FF2678: cation transporter|unclassified	273.882
UniRef50_UPI00039F800F: histidine kinase	273.003
UniRef50_UPI00039F800F: histidine kinase|unclassified	273.003
UniRef50_UPI0003786A12: hypothetical protein	272.363
UniRef50_UPI0003786A12: hypothetical protein|unclassified	272.363
UniRef50_UPI00047EB8EB: PTS cellobiose transporter subunit IIB	272.286
UniRef50_UPI00047EB8EB: PTS cellobiose transporter subunit IIB|unclassified	272.286
UniRef50_T0N682	271.399
UniRef50_T0N682|unclassified	271.399
UniRef50_UPI000289376E: transcriptional regulatory protein	270.586
UniRef50_UPI000289376E: transcriptional regulatory protein|unclassified	270.586
UniRef50_UPI0004729BC1: cation diffusion facilitator family transporter	270.298
UniRef50_UPI0004729BC1: cation diffusion facilitator family transporter|unclassified	270.298
UniRef50_R5WT10	269.179
UniRef50_R5WT10|unclassified	269.179
UniRef50_UPI00042367F5: hypothetical protein	269.15
UniRef50_UPI00042367F5: hypothetical protein|unclassified	269.15
UniRef50_UPI000369B9C1: hypothetical protein, partial	268.585
UniRef50_UPI000369B9C1: hypothetical protein, partial|unclassified	268.585
UniRef50_UPI0001A96CDA: cation-transporting ATPase	268.348
UniRef50_UPI0001A96CDA: cation-transporting ATPase|unclassified	268.348
UniRef50_UPI000469A90D: MerR family transcriptional regulator	268.315
UniRef50_UPI000469A90D: MerR family transcriptional regulator|unclassified	268.315
UniRef50_UPI0003760267: hypothetical protein, partial	267.186
UniRef50_UPI0003760267: hypothetical protein, partial|unclassified	267.186
UniRef50_UPI000469AD2E: ABC transporter permease	266.538
UniRef50_UPI000469AD2E: ABC transporter permease|unclassified	266.538
UniRef50_UPI0003B6335B: cation transporter	266.188
UniRef50_UPI0003B6335B: cation transporter|unclassified	266.188
UniRef50_B1KY25: Transcriptional regulator, MerR family protein	266.151
UniRef50_B1KY25: Transcriptional regulator, MerR family protein|unclassified	266.151
UniRef50_UPI00037D5028: hypothetical protein	265.759
UniRef50_UPI00037D5028: hypothetical protein|unclassified	265.759
UniRef50_UPI00036C8F8B: sensor histidine kinase	265.709
UniRef50_UPI00036C8F8B: sensor histidine kinase|unclassified	265.709
UniRef50_S8BJ40	265.145
UniRef50_S8BJ40|unclassified	265.145
UniRef50_A3JH63: Membrane-fusion protein-like	265.086
UniRef50_A3JH63: Membrane-fusion protein-like|unclassified	265.086
UniRef50_UPI0003B47418: cobalt-zinc-cadmium resistance protein	264.898
UniRef50_UPI0003B47418: cobalt-zinc-cadmium resistance protein|unclassified	264.898
UniRef50_UPI000464A5B5: hypothetical protein	264.76
UniRef50_UPI000464A5B5: hypothetical protein|unclassified	264.76
UniRef50_UPI00041C1664: hypothetical protein	264.324
UniRef50_UPI00041C1664: hypothetical protein|unclassified	264.324
UniRef50_UPI000473184F: membrane protein	263.92
UniRef50_UPI000473184F: membrane protein|unclassified	263.92
UniRef50_UPI0001B4182C: XRE family transcriptional regulator	261.498
UniRef50_UPI0001B4182C: XRE family transcriptional regulator|unclassified	261.498
UniRef50_W1MRK9	261.392
UniRef50_W1MRK9|unclassified	261.392
UniRef50_A6VVZ9: Hydroxyacylglutathione hydrolase	259.665
UniRef50_A6VVZ9: Hydroxyacylglutathione hydrolase|unclassified	259.665
UniRef50_UPI0002891EBB: hypothetical protein	259.518
UniRef50_UPI0002891EBB: hypothetical protein|unclassified	259.518
UniRef50_UPI0003806FFB: hypothetical protein	258.469
UniRef50_UPI0003806FFB: hypothetical protein|unclassified	258.469
UniRef50_UPI0003959163: hypothetical protein	256.711
UniRef50_UPI0003959163: hypothetical protein|unclassified	256.711
UniRef50_UPI000471C7A7: hypothetical protein	256.03
UniRef50_UPI000471C7A7: hypothetical protein|unclassified	256.03
UniRef50_A6X4T2: HI0933 family protein	255.616
UniRef50_A6X4T2: HI0933 family protein|unclassified	255.616
UniRef50_UPI000476C178: hypothetical protein	254.269
UniRef50_UPI000476C178: hypothetical protein|unclassified	254.269
UniRef50_UPI00037D112A: hypothetical protein	254.082
UniRef50_UPI00037D112A: hypothetical protein|unclassified	254.082
UniRef50_N9B4K6	253.625
UniRef50_N9B4K6|unclassified	253.625
UniRef50_UPI000473B6FB: transporter	253.279
UniRef50_UPI000473B6FB: transporter|unclassified	253.279
UniRef50_UPI000469F48A: MerR family transcriptional regulator	252.833
UniRef50_UPI000469F48A: MerR family transcriptional regulator|unclassified	252.833
UniRef50_UPI00036A8220: hypothetical protein	252.806
UniRef50_UPI00036A8220: hypothetical protein|unclassified	252.806
UniRef50_S2F6Y8: Secretion protein HlyD	252.276
UniRef50_S2F6Y8: Secretion protein HlyD|unclassified	252.276
UniRef50_UPI0004754485: MerR family transcriptional regulator	252.112
UniRef50_UPI0004754485: MerR family transcriptional regulator|unclassified	252.112
UniRef50_UPI0003607DF3: hypothetical protein	251.829
UniRef50_UPI0003607DF3: hypothetical protein|unclassified	251.829
UniRef50_UPI0003788961: hypothetical protein	251.498
UniRef50_UPI0003788961: hypothetical protein|unclassified	251.498
UniRef50_UPI00036916FB: hypothetical protein	251.439
UniRef50_UPI00036916FB: hypothetical protein|unclassified	251.439
UniRef50_K8NVX9	251.204
UniRef50_K8NVX9|unclassified	251.204
UniRef50_UPI00036D9D83: hypothetical protein	251.137
UniRef50_UPI00036D9D83: hypothetical protein|unclassified	251.137
UniRef50_A0A011PCU4	250.047
UniRef50_A0A011PCU4|unclassified	250.047
UniRef50_UPI000237C8D1: cation transporter	250.026
UniRef50_UPI000237C8D1: cation transporter|unclassified	250.026
UniRef50_UPI0003AD21EA: hypothetical protein	249.925
UniRef50_UPI0003AD21EA: hypothetical protein|unclassified	249.925
UniRef50_UPI0003631C9D: hypothetical protein	249.722
UniRef50_UPI0003631C9D: hypothetical protein|unclassified	249.722
UniRef50_UPI0004686D44: hypothetical protein	249.4
UniRef50_UPI0004686D44: hypothetical protein|unclassified	249.4
UniRef50_W5X574	249.287
UniRef50_W5X574|unclassified	249.287
UniRef50_UPI0003C15DE8	248.893
UniRef50_UPI0003C15DE8|unclassified	248.893
UniRef50_UPI00039993A2: transporter	248.863
UniRef50_UPI00039993A2: transporter|unclassified	248.863
UniRef50_UPI00037BE83B: hypothetical protein	248.43
UniRef50_UPI00037BE83B: hypothetical protein|unclassified	248.43
UniRef50_UPI000380F983: hypothetical protein	247.987
UniRef50_UPI000380F983: hypothetical protein|unclassified	247.987
UniRef50_UPI000375ADCA: cation transporter, partial	246.709
UniRef50_UPI000375ADCA: cation transporter, partial|unclassified	246.709
UniRef50_UPI0003A3B041: hypothetical protein	245.511
UniRef50_UPI0003A3B041: hypothetical protein|unclassified	245.511
UniRef50_UPI0003A1A10A: RND transporter	244.924
UniRef50_UPI0003A1A10A: RND transporter|unclassified	244.924
UniRef50_UPI000371C444: hypothetical protein	244.402
UniRef50_UPI000371C444: hypothetical protein|unclassified	244.402
UniRef50_B2SHY4: Cation efflux system protein	244.39
UniRef50_B2SHY4: Cation efflux system protein|unclassified	244.39
UniRef50_UPI0002E57E02: hypothetical protein	242.978
UniRef50_UPI0002E57E02: hypothetical protein|unclassified	242.978
UniRef50_UPI0003B3BA9D: cation diffusion facilitator family transporter	242.502
UniRef50_UPI0003B3BA9D: cation diffusion facilitator family transporter|unclassified	242.502
UniRef50_UPI00047856B9: hypothetical protein	242.097
UniRef50_UPI00047856B9: hypothetical protein|unclassified	242.097
UniRef50_UPI0003682EE4: hypothetical protein	241.611
UniRef50_UPI0003682EE4: hypothetical protein|unclassified	241.611
UniRef50_UPI0003B76917: membrane protein	241.438
UniRef50_UPI0003B76917: membrane protein|unclassified	241.438
UniRef50_UPI000472F505: cation transporter	240.808
UniRef50_UPI000472F505: cation transporter|unclassified	240.808
UniRef50_UPI00045E7FD0: membrane protein	240.365
UniRef50_UPI00045E7FD0: membrane protein|unclassified	240.365
UniRef50_A1TZ20: Heavy metal/H+ antiporter, CDF family	240.127
UniRef50_A1TZ20: Heavy metal/H+ antiporter, CDF family|unclassified	240.127
UniRef50_UPI0001FFED6E: hypothetical protein	240.017
UniRef50_UPI0001FFED6E: hypothetical protein|unclassified	240.017
UniRef50_UPI0003608951: hypothetical protein	239.724
UniRef50_UPI0003608951: hypothetical protein|unclassified	239.724
UniRef50_UPI00047AFD2C: hypothetical protein, partial	239.486
UniRef50_UPI00047AFD2C: hypothetical protein, partial|unclassified	239.486
UniRef50_UPI000477413F: regulator	239.232
UniRef50_UPI000477413F: regulator|unclassified	239.232
UniRef50_UPI00047CCA11: hypothetical protein, partial	238.634
UniRef50_UPI00047CCA11: hypothetical protein, partial|unclassified	238.634
UniRef50_UPI00047402B6: hypothetical protein	238.411
UniRef50_UPI00047402B6: hypothetical protein|unclassified	238.411
UniRef50_R1F398: Copper/silver resistance periplasmic protein (Fragment)	238.285
UniRef50_R1F398: Copper/silver resistance periplasmic protein (Fragment)|unclassified	238.285
UniRef50_UPI0002D67575: hypothetical protein	237.931
UniRef50_UPI0002D67575: hypothetical protein|unclassified	237.931
UniRef50_UPI0003679273: hypothetical protein	237.678
UniRef50_UPI0003679273: hypothetical protein|unclassified	237.678
UniRef50_UPI0003B67B66: MerR family transcriptional regulator	237.608
UniRef50_UPI0003B67B66: MerR family transcriptional regulator|unclassified	237.608
UniRef50_R7JQD9	237.268
UniRef50_R7JQD9|unclassified	237.268
UniRef50_UPI000371DE28: membrane protein, partial	236.771
UniRef50_UPI000371DE28: membrane protein, partial|unclassified	236.771
UniRef50_UPI000370DC35: hypothetical protein	236.702
UniRef50_UPI000370DC35: hypothetical protein|unclassified	236.702
UniRef50_G4QNM3: Putative cation efflux system protein	236.669
UniRef50_G4QNM3: Putative cation efflux system protein|unclassified	236.669
UniRef50_A0A022GLE8: Cobalt-zinc-cadmium resistance protein (Fragment)	236.577
UniRef50_A0A022GLE8: Cobalt-zinc-cadmium resistance protein (Fragment)|unclassified	236.577
UniRef50_UPI00039EEBCE: hypothetical protein	236.53
UniRef50_UPI00039EEBCE: hypothetical protein|unclassified	236.53
UniRef50_UPI000468AB93: hydroxyacylglutathione hydrolase	235.991
UniRef50_UPI000468AB93: hydroxyacylglutathione hydrolase|unclassified	235.991
UniRef50_UPI000262CAF8: hydroxyacylglutathione hydrolase	235.962
UniRef50_UPI000262CAF8: hydroxyacylglutathione hydrolase|unclassified	235.962
UniRef50_UPI0004745D0F: hypothetical protein	235.78
UniRef50_UPI0004745D0F: hypothetical protein|unclassified	235.78
UniRef50_A6V4P3: Trans-aconitate 2-methyltransferase	235.401
UniRef50_A6V4P3: Trans-aconitate 2-methyltransferase|unclassified	235.401
UniRef50_UPI00036CA6EC: hypothetical protein	235.378
UniRef50_UPI00036CA6EC: hypothetical protein|unclassified	235.378
UniRef50_M1UEF4: Co/Zn/Cd efflux system component	234.93
UniRef50_M1UEF4: Co/Zn/Cd efflux system component|unclassified	234.93
UniRef50_UPI000248DA81: MerR family transcriptional regulator	234.669
UniRef50_UPI000248DA81: MerR family transcriptional regulator|unclassified	234.669
UniRef50_Q7MG20	234.163
UniRef50_Q7MG20|unclassified	234.163
UniRef50_UPI00047E00BD: cation diffusion facilitator family transporter	233.878
UniRef50_UPI00047E00BD: cation diffusion facilitator family transporter|unclassified	233.878
UniRef50_UPI00037DDCA8: hypothetical protein	233.692
UniRef50_UPI00037DDCA8: hypothetical protein|unclassified	233.692
UniRef50_A0A015K7C6	233.314
UniRef50_A0A015K7C6|unclassified	233.314
UniRef50_Q2IJC6: Hydroxyacylglutathione hydrolase	233.126
UniRef50_Q2IJC6: Hydroxyacylglutathione hydrolase|unclassified	233.126
UniRef50_UPI00047EF76C: cation transporter	232.743
UniRef50_UPI00047EF76C: cation transporter|unclassified	232.743
UniRef50_UPI00046739D7: cobalt transporter	232.599
UniRef50_UPI00046739D7: cobalt transporter|unclassified	232.599
UniRef50_UPI0003B6D395: ATPase	231.964
UniRef50_UPI0003B6D395: ATPase|unclassified	231.964
UniRef50_UPI00046F36C1: hypothetical protein	231.885
UniRef50_UPI00046F36C1: hypothetical protein|unclassified	231.885
UniRef50_UPI000319D40D: hypothetical protein	231.798
UniRef50_UPI000319D40D: hypothetical protein|unclassified	231.798
UniRef50_UPI0003B5D053: transporter	231.722
UniRef50_UPI0003B5D053: transporter|unclassified	231.722
UniRef50_UPI0003C11FFA	231.477
UniRef50_UPI0003C11FFA|unclassified	231.477
UniRef50_UPI000466DF2B: hypothetical protein	231.471
UniRef50_UPI000466DF2B: hypothetical protein|unclassified	231.471
UniRef50_B1Q6W4: MerR-family transcriptional regulator	230.852
UniRef50_B1Q6W4: MerR-family transcriptional regulator|unclassified	230.852
UniRef50_A9EHT8: HlyD family secretion protein	230.734
UniRef50_A9EHT8: HlyD family secretion protein|unclassified	230.734
UniRef50_W0YTB1: Outer membrane lipoprotein	230.699
UniRef50_W0YTB1: Outer membrane lipoprotein|unclassified	230.699
UniRef50_C4LC58: Hydroxyacylglutathione hydrolase	230.52
UniRef50_C4LC58: Hydroxyacylglutathione hydrolase|unclassified	230.52
UniRef50_A0A022GVC0: Transcriptional regulator	230.025
