# Gene Family	SampleAmmonia_assimilation_Abundance-CPM
UniRef50_H1XLP3|unclassified	1062.56
UniRef50_W1YRL4: FAD-dependent pyridine nucleotide-disulfide oxidoreductase (Fragment)	1056.64
UniRef50_W1YRL4: FAD-dependent pyridine nucleotide-disulfide oxidoreductase (Fragment)|unclassified	1056.64
UniRef50_Q08258: Ferredoxin-dependent glutamate synthase (Fragment)	1047.56
UniRef50_Q08258: Ferredoxin-dependent glutamate synthase (Fragment)|unclassified	1047.56
UniRef50_U6HSW1: Glutamate synthase	1032.38
UniRef50_U6HSW1: Glutamate synthase|unclassified	1032.38
UniRef50_Q7WA62: Bifunctional uridylyltransferase/uridylyl-removing enzyme	1031.54
UniRef50_Q7WA62: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	1031.54
UniRef50_Q9CNQ2: Glutamate-ammonia-ligase adenylyltransferase	1027.58
UniRef50_Q9CNQ2: Glutamate-ammonia-ligase adenylyltransferase|unclassified	1027.58
UniRef50_Q3JQK1	1026.1
UniRef50_Q3JQK1|unclassified	1026.1
UniRef50_UPI0002897EC0: ammonium transporter	1018.9
UniRef50_UPI0002897EC0: ammonium transporter|unclassified	1018.9
UniRef50_R8DPH1	1018.4
UniRef50_R8DPH1|unclassified	1018.4
UniRef50_D0PN60: Predicted protein	1012.01
UniRef50_D0PN60: Predicted protein|unclassified	1012.01
UniRef50_G6EBS3	1004.59
UniRef50_G6EBS3|unclassified	1004.59
UniRef50_Q81ZW1: Glutamate-ammonia-ligase adenylyltransferase	997.684
UniRef50_Q81ZW1: Glutamate-ammonia-ligase adenylyltransferase|unclassified	997.684
UniRef50_Q6FEI9: Glutamate-ammonia-ligase adenylyltransferase	997.328
UniRef50_Q6FEI9: Glutamate-ammonia-ligase adenylyltransferase|unclassified	997.328
UniRef50_UPI00036AC7B4: hypothetical protein	997.106
UniRef50_UPI00036AC7B4: hypothetical protein|unclassified	997.106
UniRef50_B1FPA2	995.582
UniRef50_B1FPA2|unclassified	995.582
UniRef50_UPI0003064869: hypothetical protein	990.946
UniRef50_UPI0003064869: hypothetical protein|unclassified	990.946
UniRef50_UPI0002651756: PREDICTED: putative glutamate synthase [NADPH]-like	984.645
UniRef50_UPI0002651756: PREDICTED: putative glutamate synthase [NADPH]-like|unclassified	984.645
UniRef50_Q6FAM5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	983.34
UniRef50_Q6FAM5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	983.34
UniRef50_UPI0003700B78: hypothetical protein	964.026
UniRef50_UPI0003700B78: hypothetical protein|unclassified	964.026
UniRef50_UPI0003761AFD: hypothetical protein, partial	962.447
UniRef50_UPI0003761AFD: hypothetical protein, partial|unclassified	962.447
UniRef50_UPI000378D1C1: hypothetical protein	943.455
UniRef50_UPI000378D1C1: hypothetical protein|unclassified	943.455
UniRef50_D8R2R5	938.262
UniRef50_D8R2R5|unclassified	938.262
UniRef50_X3V7Z9	935.106
UniRef50_X3V7Z9|unclassified	935.106
UniRef50_R6MYW6	934.231
UniRef50_R6MYW6|unclassified	934.231
UniRef50_UPI00037C7A0E: hypothetical protein, partial	931.139
UniRef50_UPI00037C7A0E: hypothetical protein, partial|unclassified	931.139
UniRef50_X1THZ3: Marine sediment metagenome DNA, contig: S12H4_L00239 (Fragment)	901.623
UniRef50_X1THZ3: Marine sediment metagenome DNA, contig: S12H4_L00239 (Fragment)|unclassified	901.623
UniRef50_Q47147: Putative glutamine amidotransferase YafJ	898.572
UniRef50_Q47147: Putative glutamine amidotransferase YafJ|unclassified	898.572
UniRef50_Q5GU84: PilL protein	895.918
UniRef50_Q5GU84: PilL protein|unclassified	895.918
UniRef50_X1KMN7: Marine sediment metagenome DNA, contig: S06H3_C03534	895.478
UniRef50_X1KMN7: Marine sediment metagenome DNA, contig: S06H3_C03534|unclassified	895.478
UniRef50_A1SRE0: Glutamate-ammonia-ligase adenylyltransferase	887.88
UniRef50_A1SRE0: Glutamate-ammonia-ligase adenylyltransferase|unclassified	887.88
UniRef50_UPI00047B51A4: hypothetical protein	885.246
UniRef50_UPI00047B51A4: hypothetical protein|unclassified	885.246
UniRef50_UPI00035F2F1B: hypothetical protein	884.097
UniRef50_UPI00035F2F1B: hypothetical protein|unclassified	884.097
UniRef50_W4YKE7	881.3
UniRef50_W4YKE7|unclassified	881.3
UniRef50_UPI0003B6E261: glutamate synthase	879.359
UniRef50_UPI0003B6E261: glutamate synthase|unclassified	879.359
UniRef50_UPI00037EC181: hypothetical protein	877.555
UniRef50_UPI00037EC181: hypothetical protein|unclassified	877.555
UniRef50_Q8UGQ4: Glutamate-ammonia-ligase adenylyltransferase	865.931
UniRef50_Q8UGQ4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	865.931
UniRef50_UPI000255C009: ammonium transporter, partial	865.706
UniRef50_UPI000255C009: ammonium transporter, partial|unclassified	865.706
UniRef50_Q8G654: Glutamate-ammonia-ligase adenylyltransferase	860.465
UniRef50_Q8G654: Glutamate-ammonia-ligase adenylyltransferase|unclassified	860.465
UniRef50_UPI00016A2CA7: sigma-54 dependent DNA-binding transcriptional regulator	852.727
UniRef50_UPI00016A2CA7: sigma-54 dependent DNA-binding transcriptional regulator|unclassified	852.727
UniRef50_UPI0003B5FD64: PII uridylyl-transferase, partial	851.904
UniRef50_UPI0003B5FD64: PII uridylyl-transferase, partial|unclassified	851.904
UniRef50_Q3IIZ7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	836.862
UniRef50_Q3IIZ7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	836.862
UniRef50_Q3JES8: Glutamate-ammonia-ligase adenylyltransferase	836.695
UniRef50_Q3JES8: Glutamate-ammonia-ligase adenylyltransferase|unclassified	836.695
UniRef50_UPI0000F2F9F5: histidine kinase	833.662
UniRef50_UPI0000F2F9F5: histidine kinase|unclassified	833.662
UniRef50_Q65SZ8: Bifunctional uridylyltransferase/uridylyl-removing enzyme	825.281
UniRef50_Q65SZ8: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	825.281
UniRef50_E7C7W2	811.732
UniRef50_E7C7W2|unclassified	811.732
UniRef50_B8GL43: Glutamate-ammonia-ligase adenylyltransferase	809.433
UniRef50_B8GL43: Glutamate-ammonia-ligase adenylyltransferase|unclassified	809.433
UniRef50_X8FCS5: HD domain protein	809.087
UniRef50_X8FCS5: HD domain protein|unclassified	809.087
UniRef50_H1XLP2	804.15
UniRef50_H1XLP2|unclassified	804.15
UniRef50_Q92R86: Glutamate-ammonia-ligase adenylyltransferase	800.316
UniRef50_Q92R86: Glutamate-ammonia-ligase adenylyltransferase|unclassified	800.316
UniRef50_UPI00036E7619: hypothetical protein	797.552
UniRef50_UPI00036E7619: hypothetical protein|unclassified	797.552
UniRef50_Q2SN48: Glutamate-ammonia-ligase adenylyltransferase	796.425
UniRef50_Q2SN48: Glutamate-ammonia-ligase adenylyltransferase|unclassified	796.425
UniRef50_Q3JCX7: Bifunctional uridylyltransferase/uridylyl-removing enzyme	791.483
UniRef50_Q3JCX7: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	791.483
UniRef50_X6SHD3	784.527
UniRef50_X6SHD3|unclassified	784.527
UniRef50_Q5QXT0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	781.786
UniRef50_Q5QXT0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	781.786
UniRef50_UPI0002D99E5C: hypothetical protein	778.832
UniRef50_UPI0002D99E5C: hypothetical protein|unclassified	778.832
UniRef50_UPI0003469D05: glutamine-synthetase adenylyltransferase	770.989
UniRef50_UPI0003469D05: glutamine-synthetase adenylyltransferase|unclassified	770.989
UniRef50_UPI0004733570: pyridine nucleotide-disulfide oxidoreductase	766.475
UniRef50_UPI0004733570: pyridine nucleotide-disulfide oxidoreductase|unclassified	766.475
UniRef50_UPI000475B006: hypothetical protein	761.576
UniRef50_UPI000475B006: hypothetical protein|unclassified	761.576
UniRef50_UPI0003724D90: hypothetical protein, partial	761.089
UniRef50_UPI0003724D90: hypothetical protein, partial|unclassified	761.089
UniRef50_H0TRF6: PilL (Modular protein)	754.117
UniRef50_H0TRF6: PilL (Modular protein)|unclassified	754.117
UniRef50_R7L798	750.279
UniRef50_R7L798|unclassified	750.279
UniRef50_X1DKL1: Marine sediment metagenome DNA, contig: S01H4_S21938 (Fragment)	746.855
UniRef50_X1DKL1: Marine sediment metagenome DNA, contig: S01H4_S21938 (Fragment)|unclassified	746.855
UniRef50_UPI0002F526B0: hypothetical protein	745.165
UniRef50_UPI0002F526B0: hypothetical protein|unclassified	745.165
UniRef50_X1BFA3: Marine sediment metagenome DNA, contig: S01H4_S01394 (Fragment)	738.511
UniRef50_X1BFA3: Marine sediment metagenome DNA, contig: S01H4_S01394 (Fragment)|unclassified	738.511
UniRef50_R5PAP0	736.313
UniRef50_R5PAP0|unclassified	736.313
UniRef50_UPI00034A00AB: hypothetical protein	733.628
UniRef50_UPI00034A00AB: hypothetical protein|unclassified	733.628
UniRef50_W1XWD8	732.281
UniRef50_W1XWD8|unclassified	732.281
UniRef50_D1F1R0	730.938
UniRef50_D1F1R0|unclassified	730.938
UniRef50_W7BHC6	721.323
UniRef50_W7BHC6|unclassified	721.323
UniRef50_W7IRT5	715.519
UniRef50_W7IRT5|unclassified	715.519
UniRef50_L8DWF8: Ferredoxin-dependent glutamate synthase 1	712.992
UniRef50_L8DWF8: Ferredoxin-dependent glutamate synthase 1|unclassified	712.992
UniRef50_UPI00037344AD: hypothetical protein	708.423
UniRef50_UPI00037344AD: hypothetical protein|unclassified	708.423
UniRef50_F1VVA9	708.167
UniRef50_F1VVA9|unclassified	708.167
UniRef50_K1ZU83: Glutamate synthase [NADPH] small chain, (NADPH-GOGAT) (Fragment)	704.811
UniRef50_K1ZU83: Glutamate synthase [NADPH] small chain, (NADPH-GOGAT) (Fragment)|unclassified	704.811
UniRef50_Q9ZED7	703.707
UniRef50_Q9ZED7|unclassified	703.707
UniRef50_UPI0001E2FB69: dihydropyrimidine dehydrogenase subunit A	699.672
UniRef50_UPI0001E2FB69: dihydropyrimidine dehydrogenase subunit A|unclassified	699.672
UniRef50_Q5P7S1: Glutamate-ammonia-ligase adenylyltransferase	697.29
UniRef50_Q5P7S1: Glutamate-ammonia-ligase adenylyltransferase|unclassified	697.29
UniRef50_J9UR85: Glutamate synthase GltD	695.911
UniRef50_J9UR85: Glutamate synthase GltD|unclassified	695.911
UniRef50_A0A024M6R0	694.202
UniRef50_A0A024M6R0|unclassified	694.202
UniRef50_UPI0004737985: hypothetical protein	693.914
UniRef50_UPI0004737985: hypothetical protein|unclassified	693.914
UniRef50_UPI0004642D55: hypothetical protein	686.979
UniRef50_UPI0004642D55: hypothetical protein|unclassified	686.979
UniRef50_Q60BB2: Bifunctional uridylyltransferase/uridylyl-removing enzyme	685.956
UniRef50_Q60BB2: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	685.956
UniRef50_Q485H4: Bifunctional uridylyltransferase/uridylyl-removing enzyme	684.739
UniRef50_Q485H4: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	684.739
UniRef50_A0A011MWM0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	683.895
UniRef50_A0A011MWM0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	683.895
UniRef50_Q8XW19: Glutamate-ammonia-ligase adenylyltransferase	678.651
UniRef50_Q8XW19: Glutamate-ammonia-ligase adenylyltransferase|unclassified	678.651
UniRef50_UPI0003786CA7: hypothetical protein	677.221
UniRef50_UPI0003786CA7: hypothetical protein|unclassified	677.221
UniRef50_Q5QY18: Glutamate-ammonia-ligase adenylyltransferase	676.245
UniRef50_Q5QY18: Glutamate-ammonia-ligase adenylyltransferase|unclassified	676.245
UniRef50_X1TK89: Marine sediment metagenome DNA, contig: S12H4_S17354 (Fragment)	674.257
UniRef50_X1TK89: Marine sediment metagenome DNA, contig: S12H4_S17354 (Fragment)|unclassified	674.257
UniRef50_UPI00036A570F: hypothetical protein	670.576
UniRef50_UPI00036A570F: hypothetical protein|unclassified	670.576
UniRef50_Q89QJ5: Glutamate-ammonia-ligase adenylyltransferase	669.563
UniRef50_Q89QJ5: Glutamate-ammonia-ligase adenylyltransferase|unclassified	669.563
UniRef50_Q2N784: Bifunctional uridylyltransferase/uridylyl-removing enzyme	659.707
UniRef50_Q2N784: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	659.707
UniRef50_R6I6X5	659.187
UniRef50_R6I6X5|unclassified	659.187
UniRef50_UPI000377A87E: hypothetical protein, partial	656.588
UniRef50_UPI000377A87E: hypothetical protein, partial|unclassified	656.588
UniRef50_T1CDK2: Glutamate synthase (Ferredoxin) (Fragment)	656.383
UniRef50_T1CDK2: Glutamate synthase (Ferredoxin) (Fragment)|unclassified	656.383
UniRef50_X0TZ47: Marine sediment metagenome DNA, contig: S01H1_L11276 (Fragment)	639.534
UniRef50_X0TZ47: Marine sediment metagenome DNA, contig: S01H1_L11276 (Fragment)|unclassified	639.534
UniRef50_W1W5L3: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)	638.636
UniRef50_W1W5L3: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)|unclassified	638.636
UniRef50_UPI00036F97FC: hypothetical protein	637.079
UniRef50_UPI00036F97FC: hypothetical protein|unclassified	637.079
UniRef50_A0A011NKQ6	631.118
UniRef50_A0A011NKQ6|unclassified	631.118
UniRef50_UPI00046F03A6: histidine kinase	625.985
UniRef50_UPI00046F03A6: histidine kinase|unclassified	625.985
UniRef50_A3TLL1	624.145
UniRef50_A3TLL1|unclassified	624.145
UniRef50_UPI000174583E: nitrogen regulation protein NR(I)	622.756
UniRef50_UPI000174583E: nitrogen regulation protein NR(I)|unclassified	622.756
UniRef50_A1K7V2	621.717
UniRef50_A1K7V2|unclassified	621.717
UniRef50_W7X4J4	621.239
UniRef50_W7X4J4|unclassified	621.239
UniRef50_UPI0001B41616: hypothetical protein	618.011
UniRef50_UPI0001B41616: hypothetical protein|unclassified	618.011
UniRef50_UPI0000E0E665: nitrogen regulation protein NR(II)	613.927
UniRef50_UPI0000E0E665: nitrogen regulation protein NR(II)|unclassified	613.927
UniRef50_UPI0001CC0B33: PII uridylyl-transferase, partial	611.911
UniRef50_UPI0001CC0B33: PII uridylyl-transferase, partial|unclassified	611.911
UniRef50_UPI00047DC1D7: ammonium transporter	602.78
UniRef50_UPI00047DC1D7: ammonium transporter|unclassified	602.78
UniRef50_UPI0002555F8C: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase	600.174
UniRef50_UPI0002555F8C: bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase|unclassified	600.174
UniRef50_UPI000464440F: effector protein	598.569
UniRef50_UPI000464440F: effector protein|unclassified	598.569
UniRef50_M4V6I3	598.439
UniRef50_M4V6I3|unclassified	598.439
UniRef50_O69873: Bifunctional uridylyltransferase/uridylyl-removing enzyme	598.252
UniRef50_O69873: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	598.252
UniRef50_UPI00037E35A9: hypothetical protein	596.624
UniRef50_UPI00037E35A9: hypothetical protein|unclassified	596.624
UniRef50_B5YBJ3	596.236
UniRef50_B5YBJ3|unclassified	596.236
UniRef50_A0A011Q6H3	595.643
UniRef50_A0A011Q6H3|unclassified	595.643
UniRef50_A0A059CJK8	590.529
UniRef50_A0A059CJK8|unclassified	590.529
UniRef50_X0W6C2: Marine sediment metagenome DNA, contig: S01H1_S18045 (Fragment)	585.059
UniRef50_X0W6C2: Marine sediment metagenome DNA, contig: S01H1_S18045 (Fragment)|unclassified	585.059
UniRef50_UPI00034C16D2: formate dehydrogenase	583.452
UniRef50_UPI00034C16D2: formate dehydrogenase|unclassified	583.452
UniRef50_UPI000362C9DB: hypothetical protein, partial	580.532
UniRef50_UPI000362C9DB: hypothetical protein, partial|unclassified	580.532
UniRef50_T0CJ48	577.478
UniRef50_T0CJ48|unclassified	577.478
UniRef50_Q5X4J1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	574.469
UniRef50_Q5X4J1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	574.469
UniRef50_UPI0003611BBE: hypothetical protein, partial	571.069
UniRef50_UPI0003611BBE: hypothetical protein, partial|unclassified	571.069
UniRef50_Q2RNG2: Bifunctional uridylyltransferase/uridylyl-removing enzyme	569.883
UniRef50_Q2RNG2: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	569.883
UniRef50_UPI00029A1727: glutamate synthase (NADPH) large subunit, partial	565.714
UniRef50_UPI00029A1727: glutamate synthase (NADPH) large subunit, partial|unclassified	565.714
UniRef50_UPI0003471B1E: hypothetical protein	556.615
UniRef50_UPI0003471B1E: hypothetical protein|unclassified	556.615
UniRef50_UPI00046A0B7B: glutamate synthase	550.242
UniRef50_UPI00046A0B7B: glutamate synthase|unclassified	550.242
UniRef50_UPI000473C0E6: glutamate-ammonia-ligase adenylyltransferase, partial	544.234
UniRef50_UPI000473C0E6: glutamate-ammonia-ligase adenylyltransferase, partial|unclassified	544.234
UniRef50_Q2NY41: Glutamate-ammonia-ligase adenylyltransferase	544.005
UniRef50_Q2NY41: Glutamate-ammonia-ligase adenylyltransferase|unclassified	544.005
UniRef50_P45670: Nitrogen regulation protein NtrB	541.625
UniRef50_P45670: Nitrogen regulation protein NtrB|unclassified	541.625
UniRef50_R9QYY4: Small chain glutamate synthase (Fragment)	539.861
UniRef50_R9QYY4: Small chain glutamate synthase (Fragment)|unclassified	539.861
UniRef50_UPI00036FD865: hypothetical protein	538.944
UniRef50_UPI00036FD865: hypothetical protein|unclassified	538.944
UniRef50_T1AUT9: Glutamate synthase small subunit (Fragment)	537.717
UniRef50_T1AUT9: Glutamate synthase small subunit (Fragment)|unclassified	537.717
UniRef50_F2AE12	537.34
UniRef50_F2AE12|unclassified	537.34
UniRef50_X1K4A9: Marine sediment metagenome DNA, contig: S06H3_C01986 (Fragment)	536.384
UniRef50_X1K4A9: Marine sediment metagenome DNA, contig: S06H3_C01986 (Fragment)|unclassified	536.384
UniRef50_UPI0001B41083: sigma-54 dependent transcriptional regulator	536.272
UniRef50_UPI0001B41083: sigma-54 dependent transcriptional regulator|unclassified	536.272
UniRef50_UPI000475FB47: protein-PII uridylyltransferase	534.333
UniRef50_UPI000475FB47: protein-PII uridylyltransferase|unclassified	534.333
UniRef50_UPI0003753A01: glutamate-ammonia ligase adenylyltransferase	533.875
UniRef50_UPI0003753A01: glutamate-ammonia ligase adenylyltransferase|unclassified	533.875
UniRef50_UPI000375CE7A: hypothetical protein	533.736
UniRef50_UPI000375CE7A: hypothetical protein|unclassified	533.736
UniRef50_Q2Y5Q1: Bifunctional uridylyltransferase/uridylyl-removing enzyme	532.988
UniRef50_Q2Y5Q1: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	532.988
UniRef50_C9SQA6: Glutamate synthase small chain	531.418
UniRef50_C9SQA6: Glutamate synthase small chain|unclassified	531.418
UniRef50_UPI00034BC013: hypothetical protein	531.319
UniRef50_UPI00034BC013: hypothetical protein|unclassified	531.319
UniRef50_T1BD36: Glutamate synthase small subunit	528.558
UniRef50_T1BD36: Glutamate synthase small subunit|unclassified	528.558
UniRef50_V4R3K8	528.429
UniRef50_V4R3K8|unclassified	528.429
UniRef50_P44098: Putative glutamine amidotransferase HI_1037	526.828
UniRef50_P44098: Putative glutamine amidotransferase HI_1037|unclassified	526.828
UniRef50_Q2P497: Bifunctional uridylyltransferase/uridylyl-removing enzyme	525.412
UniRef50_Q2P497: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	525.412
UniRef50_Q6NG61: Glutamate-ammonia-ligase adenylyltransferase	521.195
UniRef50_Q6NG61: Glutamate-ammonia-ligase adenylyltransferase|unclassified	521.195
UniRef50_UPI0003654A50: hypothetical protein, partial	513.67
UniRef50_UPI0003654A50: hypothetical protein, partial|unclassified	513.67
UniRef50_UPI0001816779: probable glutamate-ammonia-ligase adenylyltransferase (partial sequence c terminus) protein	513.523
UniRef50_UPI0001816779: probable glutamate-ammonia-ligase adenylyltransferase (partial sequence c terminus) protein|unclassified	513.523
UniRef50_UPI0003795F7D: hypothetical protein	512.586
UniRef50_UPI0003795F7D: hypothetical protein|unclassified	512.586
UniRef50_UPI00047A9D4F: Fis family transcriptional regulator, partial	501.534
UniRef50_UPI00047A9D4F: Fis family transcriptional regulator, partial|unclassified	501.534
UniRef50_UPI0003762133: hypothetical protein, partial	497.707
UniRef50_UPI0003762133: hypothetical protein, partial|unclassified	497.707
UniRef50_Q81ZZ7: Glutamate-ammonia-ligase adenylyltransferase	484.427
UniRef50_Q81ZZ7: Glutamate-ammonia-ligase adenylyltransferase|unclassified	484.427
UniRef50_UPI00037BC975: hypothetical protein	480.25
UniRef50_UPI00037BC975: hypothetical protein|unclassified	480.25
UniRef50_B8GWX0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	476.702
UniRef50_B8GWX0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	476.702
UniRef50_UPI0003B2F532: glutamine-synthetase adenylyltransferase	475.832
UniRef50_UPI0003B2F532: glutamine-synthetase adenylyltransferase|unclassified	475.832
UniRef50_UPI0002377691: (glutamate--ammonia-ligase) adenylyltransferase, partial	470.103
UniRef50_UPI0002377691: (glutamate--ammonia-ligase) adenylyltransferase, partial|unclassified	470.103
UniRef50_UPI0004724030: protein-PII uridylyltransferase	469.311
UniRef50_UPI0004724030: protein-PII uridylyltransferase|unclassified	469.311
UniRef50_X4FKH7	468.467
UniRef50_X4FKH7|unclassified	468.467
UniRef50_UPI00046FA264: hypothetical protein, partial	467.813
UniRef50_UPI00046FA264: hypothetical protein, partial|unclassified	467.813
UniRef50_UPI00036E0C31: hypothetical protein	465.616
UniRef50_UPI00036E0C31: hypothetical protein|unclassified	465.616
UniRef50_Q3JQ27	465.43
UniRef50_Q3JQ27|unclassified	465.43
UniRef50_UPI000376F2B5: hypothetical protein	464.089
UniRef50_UPI000376F2B5: hypothetical protein|unclassified	464.089
UniRef50_UPI000467771F: hypothetical protein	462.264
UniRef50_UPI000467771F: hypothetical protein|unclassified	462.264
UniRef50_X1RSY8: Marine sediment metagenome DNA, contig: S06H3_S19872 (Fragment)	459.501
UniRef50_X1RSY8: Marine sediment metagenome DNA, contig: S06H3_S19872 (Fragment)|unclassified	459.501
UniRef50_UPI00037D86B2: hypothetical protein	459.379
UniRef50_UPI00037D86B2: hypothetical protein|unclassified	459.379
UniRef50_K2DXQ3	458.644
UniRef50_K2DXQ3|unclassified	458.644
UniRef50_UPI0003637E36: hypothetical protein	458.132
UniRef50_UPI0003637E36: hypothetical protein|unclassified	458.132
UniRef50_X8ASH1	457.505
UniRef50_X8ASH1|unclassified	457.505
UniRef50_UPI0004640341: hypothetical protein, partial	456.617
UniRef50_UPI0004640341: hypothetical protein, partial|unclassified	456.617
UniRef50_O65053: Probable NADH-glutamate synthase (Fragment)	455.943
UniRef50_O65053: Probable NADH-glutamate synthase (Fragment)|unclassified	455.943
UniRef50_Q6A9Z4: Glutamate-ammonia-ligase adenylyltransferase	455.311
UniRef50_Q6A9Z4: Glutamate-ammonia-ligase adenylyltransferase|unclassified	455.311
UniRef50_UPI00046F8DDC: hypothetical protein	454.988
UniRef50_UPI00046F8DDC: hypothetical protein|unclassified	454.988
UniRef50_K1RPX8: Glutamate synthase subunit beta	449.211
UniRef50_K1RPX8: Glutamate synthase subunit beta|unclassified	449.211
UniRef50_UPI000255C1E1: ammonium transporter, partial	445.966
UniRef50_UPI000255C1E1: ammonium transporter, partial|unclassified	445.966
UniRef50_UPI0003A3D041: glutamine-synthetase adenylyltransferase	445.852
UniRef50_UPI0003A3D041: glutamine-synthetase adenylyltransferase|unclassified	445.852
UniRef50_UPI0003656843: hypothetical protein	445.615
UniRef50_UPI0003656843: hypothetical protein|unclassified	445.615
UniRef50_UPI0003B61A27: ammonium transporter	445.171
UniRef50_UPI0003B61A27: ammonium transporter|unclassified	445.171
UniRef50_UPI000365F632: hypothetical protein	444.965
UniRef50_UPI000365F632: hypothetical protein|unclassified	444.965
UniRef50_G4C2V5	444.783
UniRef50_G4C2V5|unclassified	444.783
UniRef50_UPI0002559A4E: glutamate-ammonia-ligase adenylyltransferase, partial	439.911
UniRef50_UPI0002559A4E: glutamate-ammonia-ligase adenylyltransferase, partial|unclassified	439.911
UniRef50_UPI0004781616: hypothetical protein	436.684
UniRef50_UPI0004781616: hypothetical protein|unclassified	436.684
UniRef50_N6V170	435.242
UniRef50_N6V170|unclassified	435.242
UniRef50_R5Z7B4	434.483
UniRef50_R5Z7B4|unclassified	434.483
UniRef50_UPI00046FCCAD: hypothetical protein	432.163
UniRef50_UPI00046FCCAD: hypothetical protein|unclassified	432.163
UniRef50_Q4FUP5: Bifunctional uridylyltransferase/uridylyl-removing enzyme	430.273
UniRef50_Q4FUP5: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	430.273
UniRef50_UPI00025562B5: protein-P-II uridylyltransferase	430.143
UniRef50_UPI00025562B5: protein-P-II uridylyltransferase|unclassified	430.143
UniRef50_UPI00046F2CFC: hypothetical protein	428.252
UniRef50_UPI00046F2CFC: hypothetical protein|unclassified	428.252
UniRef50_Q5FPT6: Bifunctional uridylyltransferase/uridylyl-removing enzyme	427.129
UniRef50_Q5FPT6: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	427.129
UniRef50_Q31G41: Bifunctional uridylyltransferase/uridylyl-removing enzyme	426.847
UniRef50_Q31G41: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	426.847
UniRef50_J5NRH1	426.522
UniRef50_J5NRH1|unclassified	426.522
UniRef50_X1UNQ6: Marine sediment metagenome DNA, contig: S12H4_S15985 (Fragment)	423.91
UniRef50_X1UNQ6: Marine sediment metagenome DNA, contig: S12H4_S15985 (Fragment)|unclassified	423.91
UniRef50_UPI000466AAF6: protein-PII uridylyltransferase, partial	423.775
UniRef50_UPI000466AAF6: protein-PII uridylyltransferase, partial|unclassified	423.775
UniRef50_UPI00036CF73F: hypothetical protein	420.943
UniRef50_UPI00036CF73F: hypothetical protein|unclassified	420.943
UniRef50_UPI0004723E13: hypothetical protein, partial	419.121
UniRef50_UPI0004723E13: hypothetical protein, partial|unclassified	419.121
UniRef50_U1ESB9	416.296
UniRef50_U1ESB9|unclassified	416.296
UniRef50_Q605D9: Glutamate-ammonia-ligase adenylyltransferase	405.975
UniRef50_Q605D9: Glutamate-ammonia-ligase adenylyltransferase|unclassified	405.975
UniRef50_T1BCC1: Glutamate synthase subunit beta (Fragment)	402.151
UniRef50_T1BCC1: Glutamate synthase subunit beta (Fragment)|unclassified	402.151
UniRef50_K1SNA8: Oxidoreductase (Fragment)	402.085
UniRef50_K1SNA8: Oxidoreductase (Fragment)|unclassified	402.085
UniRef50_UPI0003B406B8: PII uridylyl-transferase	401.872
UniRef50_UPI0003B406B8: PII uridylyl-transferase|unclassified	401.872
UniRef50_UPI0003F58FAD: pyridine nucleotide-disulfide oxidoreductase	390.176
UniRef50_UPI0003F58FAD: pyridine nucleotide-disulfide oxidoreductase|unclassified	390.176
UniRef50_D8LB53	389.29
UniRef50_D8LB53|unclassified	389.29
UniRef50_Q9A4S7: Glutamate-ammonia-ligase adenylyltransferase	387.379
UniRef50_Q9A4S7: Glutamate-ammonia-ligase adenylyltransferase|unclassified	387.379
UniRef50_UPI00047254D0: hypothetical protein	380.543
UniRef50_UPI00047254D0: hypothetical protein|unclassified	380.543
UniRef50_X1R444: Marine sediment metagenome DNA, contig: S06H3_S25530 (Fragment)	380.373
